"Year","Care responsibility status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Has carer responsibility","17 and under","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Not declared","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","18","England","Female","Main scheme applicant","Not main scheme application","220","195","0.894","0"
"2023","Not declared","18","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Not declared","18","Wales","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Does not have carer responsibility","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","665","540","0.8150000000000001","0"
"2023","Does not have carer responsibility","18","England","Female","Main scheme applicant","Not main scheme application","21175","19510","0.921","0"
"2023","Does not have carer responsibility","18","Scotland","Female","Main scheme applicant","Not main scheme application","575","460","0.795","0"
"2023","Does not have carer responsibility","18","Wales","Female","Main scheme applicant","Not main scheme application","680","620","0.914","0"
"2023","Has carer responsibility","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","30","25","0.929","0"
"2023","Has carer responsibility","18","England","Female","Main scheme applicant","Not main scheme application","980","875","0.891","0"
"2023","Has carer responsibility","18","Scotland","Female","Main scheme applicant","Not main scheme application","35","25","0.676","0"
"2023","Has carer responsibility","18","Wales","Female","Main scheme applicant","Not main scheme application","25","25","0.885","0"
"2023","Not declared","19","England","Female","Main scheme applicant","Not main scheme application","80","70","0.854","0"
"2023","Does not have carer responsibility","19","Northern Ireland","Female","Main scheme applicant","Not main scheme application","155","120","0.797","0"
"2023","Does not have carer responsibility","19","England","Female","Main scheme applicant","Not main scheme application","4680","4090","0.873","0"
"2023","Does not have carer responsibility","19","Scotland","Female","Main scheme applicant","Not main scheme application","190","145","0.749","0"
"2023","Does not have carer responsibility","19","Wales","Female","Main scheme applicant","Not main scheme application","175","155","0.881","0"
"2023","Has carer responsibility","19","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Has carer responsibility","19","England","Female","Main scheme applicant","Not main scheme application","230","200","0.862","0"
"2023","Has carer responsibility","19","Scotland","Female","Main scheme applicant","Not main scheme application","15","10"," ","0"
