"Year","Subject group HECoS","Detailed subject group HECoS","Disability and mental health","Disability and mental health description","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","No disability declared","No impairment","20270","7300","0.36"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","No disability declared","No impairment","26010","9950","0.383"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","No disability declared","No impairment","31090","11220","0.361"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","No disability declared","No impairment","29145","9190","0.315"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","No disability declared","No impairment","24290","8380","0.34500000000000003"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","No disability declared","No impairment","25520","5825","0.228"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","No disability declared","No impairment","26000","6890","0.265"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","No disability declared","No impairment","33770","7295","0.216"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","No disability declared","No impairment","29695","6270","0.211"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","No disability declared","No impairment","21705","6000","0.277"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","No disability declared","No impairment","10260","3635","0.354"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","No disability declared","No impairment","9965","3880","0.39"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","No disability declared","No impairment","10045","3695","0.368"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","No disability declared","No impairment","8310","2930","0.352"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","No disability declared","No impairment","6335","2420","0.382"
"2019","(CAH19) language and area studies","(CAH19-01-05) creative writing","No disability declared","No impairment","4510","3795","0.841"
"2020","(CAH19) language and area studies","(CAH19-01-05) creative writing","No disability declared","No impairment","4560","3915","0.858"
"2021","(CAH19) language and area studies","(CAH19-01-05) creative writing","No disability declared","No impairment","4440","3970","0.894"
"2022","(CAH19) language and area studies","(CAH19-01-05) creative writing","No disability declared","No impairment","4745","4120","0.868"
"2023","(CAH19) language and area studies","(CAH19-01-05) creative writing","No disability declared","No impairment","3880","3345","0.863"
"2019","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","No disability declared","No impairment","1455","1360","0.933"
"2020","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","No disability declared","No impairment","990","920","0.93"
"2021","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","No disability declared","No impairment","885","865","0.976"
"2022","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","No disability declared","No impairment","760","720","0.9490000000000001"
"2023","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","No disability declared","No impairment","530","510","0.9580000000000001"
"2019","(CAH19) language and area studies","(CAH19-01-06) others in English studies","No disability declared","No impairment","130","105","0.8210000000000001"
"2020","(CAH19) language and area studies","(CAH19-01-06) others in English studies","No disability declared","No impairment","90","75","0.806"
"2021","(CAH19) language and area studies","(CAH19-01-06) others in English studies","No disability declared","No impairment","110","100","0.923"
"2022","(CAH19) language and area studies","(CAH19-01-06) others in English studies","No disability declared","No impairment","60","55","0.883"
"2023","(CAH19) language and area studies","(CAH19-01-06) others in English studies","No disability declared","No impairment","100","85","0.838"
"2019","(CAH19) language and area studies","(CAH19-01-02) English language","No disability declared","No impairment","3965","3555","0.897"
"2020","(CAH19) language and area studies","(CAH19-01-02) English language","No disability declared","No impairment","3420","3075","0.9"
"2021","(CAH19) language and area studies","(CAH19-01-02) English language","No disability declared","No impairment","3220","2905","0.902"
"2022","(CAH19) language and area studies","(CAH19-01-02) English language","No disability declared","No impairment","3025","2645","0.874"
"2023","(CAH19) language and area studies","(CAH19-01-02) English language","No disability declared","No impairment","2470","2210","0.894"
"2019","(CAH19) language and area studies","(CAH19-01-03) literature in English","No disability declared","No impairment","16790","14660","0.873"
"2020","(CAH19) language and area studies","(CAH19-01-03) literature in English","No disability declared","No impairment","15005","13165","0.877"
"2021","(CAH19) language and area studies","(CAH19-01-03) literature in English","No disability declared","No impairment","15230","13165","0.864"
"2022","(CAH19) language and area studies","(CAH19-01-03) literature in English","No disability declared","No impairment","14470","11780","0.8140000000000001"
"2023","(CAH19) language and area studies","(CAH19-01-03) literature in English","No disability declared","No impairment","13180","11180","0.848"
"2019","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","No disability declared","No impairment","17700","14555","0.8220000000000001"
"2020","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","No disability declared","No impairment","15540","12890","0.8290000000000001"
"2021","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","No disability declared","No impairment","15125","12255","0.81"
"2022","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","No disability declared","No impairment","14845","11840","0.797"
"2023","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","No disability declared","No impairment","12715","10380","0.8160000000000001"
"2019","(CAH19) language and area studies","(CAH19-04-01) French studies","No disability declared","No impairment","5080","4115","0.81"
"2020","(CAH19) language and area studies","(CAH19-04-01) French studies","No disability declared","No impairment","4355","3545","0.8140000000000001"
"2021","(CAH19) language and area studies","(CAH19-04-01) French studies","No disability declared","No impairment","4150","3335","0.804"
"2022","(CAH19) language and area studies","(CAH19-04-01) French studies","No disability declared","No impairment","3600","2785","0.773"
"2023","(CAH19) language and area studies","(CAH19-04-01) French studies","No disability declared","No impairment","2925","2335","0.799"
"2019","(CAH19) language and area studies","(CAH19-04-02) German and Scandinavian studies","No disability declared","No impairment","1725","1420","0.8230000000000001"
"2020","(CAH19) language and area studies","(CAH19-04-02) German and Scandinavian studies","No disability declared","No impairment","1500","1235","0.8250000000000001"
"2021","(CAH19) language and area studies","(CAH19-04-02) German and Scandinavian studies","No disability declared","No impairment","1420","1165","0.8190000000000001"
"2022","(CAH19) language and area studies","(CAH19-04-02) German and Scandinavian studies","No disability declared","No impairment","1215","955","0.784"
"2023","(CAH19) language and area studies","(CAH19-04-02) German and Scandinavian studies","No disability declared","No impairment","910","740","0.812"
"2019","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","No disability declared","No impairment","5655","4510","0.797"
"2020","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","No disability declared","No impairment","5100","4100","0.804"
"2021","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","No disability declared","No impairment","4655","3700","0.795"
"2022","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","No disability declared","No impairment","3740","2825","0.755"
"2023","(CAH19) language and area studies","(CAH19-04-04) Iberian studies","No disability declared","No impairment","3350","2655","0.792"
"2019","(CAH19) language and area studies","(CAH19-04-03) Italian studies","No disability declared","No impairment","760","605","0.797"
"2020","(CAH19) language and area studies","(CAH19-04-03) Italian studies","No disability declared","No impairment","650","510","0.782"
"2021","(CAH19) language and area studies","(CAH19-04-03) Italian studies","No disability declared","No impairment","590","445","0.754"
"2022","(CAH19) language and area studies","(CAH19-04-03) Italian studies","No disability declared","No impairment","465","350","0.748"
"2023","(CAH19) language and area studies","(CAH19-04-03) Italian studies","No disability declared","No impairment","475","380","0.797"
"2019","(CAH19) language and area studies","(CAH19-01-07) linguistics","No disability declared","No impairment","3235","2800","0.866"
