"Year","Subject group HECoS","Detailed subject group HECoS","Disability and mental health","Disability and mental health description","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2022","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","No disability declared","No impairment","19280","12065","0.626"
"2023","(CAH02) subjects allied to medicine","(CAH02-02-03) pharmacy","No disability declared","No impairment","23830","13585","0.5700000000000001"
"2019","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","No disability declared","No impairment","14370","5030","0.35000000000000003"
"2020","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","No disability declared","No impairment","15385","5715","0.371"
"2021","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","No disability declared","No impairment","17640","5825","0.33"
"2022","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","No disability declared","No impairment","19265","5260","0.273"
"2023","(CAH02) subjects allied to medicine","(CAH02-06-05) physiotherapy","No disability declared","No impairment","18100","5480","0.303"
"2019","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","No disability declared","No impairment","4335","2965","0.684"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","No disability declared","No impairment","4960","3520","0.71"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","No disability declared","No impairment","4920","3520","0.715"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","No disability declared","No impairment","5630","4240","0.753"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-02) healthcare science (non-specific)","No disability declared","No impairment","5490","4365","0.795"
"2019","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","No disability declared","No impairment","34315","29865","0.87"
"2020","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","No disability declared","No impairment","34930","30410","0.871"
"2021","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","No disability declared","No impairment","37385","32660","0.874"
"2022","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","No disability declared","No impairment","35775","30695","0.858"
"2023","(CAH02) subjects allied to medicine","(CAH02-05-03) biomedical sciences (non-specific)","No disability declared","No impairment","33440","29045","0.869"
"2019","(CAH02) subjects allied to medicine","(CAH02-02-02) toxicology","No disability declared","No impairment","55","55","1.032"
"2020","(CAH02) subjects allied to medicine","(CAH02-02-02) toxicology","No disability declared","No impairment","75","75","0.999"
"2021","(CAH02) subjects allied to medicine","(CAH02-02-02) toxicology","No disability declared","No impairment","60","55","0.9410000000000001"
"2022","(CAH02) subjects allied to medicine","(CAH02-02-02) toxicology","No disability declared","No impairment","85","85","0.986"
"2023","(CAH02) subjects allied to medicine","(CAH02-02-02) toxicology","No disability declared","No impairment","135","135","0.985"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","No disability declared","No impairment","58015","26370","0.455"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","No disability declared","No impairment","64265","31395","0.489"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","No disability declared","No impairment","77255","37970","0.491"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","No disability declared","No impairment","68705","32250","0.46900000000000003"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","No disability declared","No impairment","52885","25395","0.48"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","No disability declared","No impairment","20290","6000","0.296"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","No disability declared","No impairment","22270","7585","0.341"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","No disability declared","No impairment","28255","8105","0.28700000000000003"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","No disability declared","No impairment","26765","7070","0.264"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","No disability declared","No impairment","19230","6310","0.328"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","No disability declared","No impairment","15","10","0.733"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","No disability declared","No impairment","20","15","0.85"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","No disability declared","No impairment","90","55","0.633"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","No disability declared","No impairment","60","45","0.767"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","No disability declared","No impairment","35","15","0.4"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-09) others in nursing","No disability declared","No impairment","1500","430","0.28600000000000003"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-09) others in nursing","No disability declared","No impairment","1325","500","0.378"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-09) others in nursing","No disability declared","No impairment","1555","545","0.35000000000000003"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-09) others in nursing","No disability declared","No impairment","1485","505","0.34"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-09) others in nursing","No disability declared","No impairment","1120","495","0.442"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-06) dental nursing","No disability declared","No impairment","1355","260","0.191"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-06) dental nursing","No disability declared","No impairment","1570","195","0.125"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-06) dental nursing","No disability declared","No impairment","2410","230","0.096"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-06) dental nursing","No disability declared","No impairment","3135","255","0.081"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-06) dental nursing","No disability declared","No impairment","3415","250","0.074"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","No disability declared","No impairment","2100","960","0.456"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","No disability declared","No impairment","2165","1055","0.488"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","No disability declared","No impairment","2815","1275","0.453"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","No disability declared","No impairment","2450","1030","0.42"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","No disability declared","No impairment","1795","750","0.419"
