"Year","Ethnic group","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2023","Black","35 and over","England","Female","Main scheme applicant","Not main scheme application","15","10"," "
"2019","Asian","35 and over","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2023","Asian","35 and over","England","Female","Main scheme applicant","Not main scheme application","5","0"," "
"2023","Unknown or Prefer Not To Say","35 and over","England","Female","Main scheme applicant","Not main scheme application","5","5"," "
"2021","White","17 and under","Northern Ireland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","White","17 and under","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","White","17 and under","Scotland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2020","White","17 and under","Scotland","Female","Main scheme applicant","Main scheme application","20","0"," "
"2021","White","17 and under","Scotland","Female","Main scheme applicant","Main scheme application","15","5"," "
"2022","White","17 and under","Scotland","Female","Main scheme applicant","Main scheme application","20","0"," "
"2023","White","17 and under","Scotland","Female","Main scheme applicant","Main scheme application","10","5"," "
"2021","Black","17 and under","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2023","Black","17 and under","England","Female","Main scheme applicant","Main scheme application","5","0"," "
"2019","White","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","170","20","0.11900000000000001"
"2020","White","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","195","35","0.17400000000000002"
"2021","White","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","265","30","0.11"
"2022","White","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","295","40","0.14300000000000002"
"2023","White","18","Northern Ireland","Female","Main scheme applicant","Main scheme application","260","30","0.12"
"2019","White","18","England","Female","Main scheme applicant","Main scheme application","1380","505","0.366"
"2020","White","18","England","Female","Main scheme applicant","Main scheme application","1495","635","0.425"
"2021","White","18","England","Female","Main scheme applicant","Main scheme application","1865","630","0.339"
"2022","White","18","England","Female","Main scheme applicant","Main scheme application","1810","575","0.318"
"2023","White","18","England","Female","Main scheme applicant","Main scheme application","1455","590","0.406"
"2019","White","18","Scotland","Female","Main scheme applicant","Main scheme application","280","55","0.20400000000000001"
"2020","White","18","Scotland","Female","Main scheme applicant","Main scheme application","230","65","0.289"
"2021","White","18","Scotland","Female","Main scheme applicant","Main scheme application","325","55","0.165"
"2022","White","18","Scotland","Female","Main scheme applicant","Main scheme application","285","60","0.20800000000000002"
"2023","White","18","Scotland","Female","Main scheme applicant","Main scheme application","180","50","0.281"
"2019","White","18","Wales","Female","Main scheme applicant","Main scheme application","90","20","0.209"
"2020","White","18","Wales","Female","Main scheme applicant","Main scheme application","120","35","0.294"
"2021","White","18","Wales","Female","Main scheme applicant","Main scheme application","175","45","0.261"
"2022","White","18","Wales","Female","Main scheme applicant","Main scheme application","155","45","0.281"
"2023","White","18","Wales","Female","Main scheme applicant","Main scheme application","110","35","0.313"
"2019","Black","18","England","Female","Main scheme applicant","Main scheme application","325","90","0.281"
"2020","Black","18","England","Female","Main scheme applicant","Main scheme application","365","135","0.366"
"2021","Black","18","England","Female","Main scheme applicant","Main scheme application","455","140","0.311"
"2022","Black","18","England","Female","Main scheme applicant","Main scheme application","600","160","0.271"
"2023","Black","18","England","Female","Main scheme applicant","Main scheme application","555","235","0.423"
"2019","Black","18","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2020","Black","18","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Black","18","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2022","Black","18","Scotland","Female","Main scheme applicant","Main scheme application","5","0"," "
"2023","Black","18","Scotland","Female","Main scheme applicant","Main scheme application","10","0"," "
"2020","Black","18","Wales","Female","Main scheme applicant","Main scheme application","5","0"," "
"2021","Black","18","Wales","Female","Main scheme applicant","Main scheme application","5","0"," "
