"Year","Subject group HECoS","Detailed subject group HECoS","Provider country","Main scheme applicant","Main scheme application","Accepted applicants"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","England","Not main scheme applicant","Not main scheme application","1105"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","England","Not main scheme applicant","Not main scheme application","1565"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","England","Not main scheme applicant","Not main scheme application","915"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","England","Not main scheme applicant","Not main scheme application","1120"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-02) adult nursing","England","Not main scheme applicant","Not main scheme application","1415"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","England","Not main scheme applicant","Not main scheme application","100"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","England","Not main scheme applicant","Not main scheme application","160"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","England","Not main scheme applicant","Not main scheme application","40"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","England","Not main scheme applicant","Not main scheme application","80"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-05) children's nursing","England","Not main scheme applicant","Not main scheme application","195"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","England","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","England","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","England","Not main scheme applicant","Not main scheme application","10"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-03) community nursing","England","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-09) others in nursing","England","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-09) others in nursing","England","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-09) others in nursing","England","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-09) others in nursing","England","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-06) dental nursing","England","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-06) dental nursing","England","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-06) dental nursing","England","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","England","Not main scheme applicant","Not main scheme application","75"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","England","Not main scheme applicant","Not main scheme application","90"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","England","Not main scheme applicant","Not main scheme application","100"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","England","Not main scheme applicant","Not main scheme application","70"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-08) learning disabilities nursing","England","Not main scheme applicant","Not main scheme application","70"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","England","Not main scheme applicant","Not main scheme application","455"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","England","Not main scheme applicant","Not main scheme application","550"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","England","Not main scheme applicant","Not main scheme application","270"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","England","Not main scheme applicant","Not main scheme application","330"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-07) mental health nursing","England","Not main scheme applicant","Not main scheme application","450"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","England","Not main scheme applicant","Not main scheme application","105"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","England","Not main scheme applicant","Not main scheme application","100"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-04) midwifery","England","Not main scheme applicant","Not main scheme application","50"
