"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","UK","Northern Ireland","Northern Ireland","19","Female","1275","390","0.307"
"2020","UK","Northern Ireland","Northern Ireland","19","Female","1240","525","0.425"
"2021","UK","Northern Ireland","Northern Ireland","19","Female","1365","480","0.352"
"2022","UK","Northern Ireland","Northern Ireland","19","Female","1030","340","0.328"
"2023","UK","Northern Ireland","Northern Ireland","19","Female","780","265","0.338"
"2019","UK","Scotland","Scotland","19","Female","1715","735","0.43"
"2020","UK","Scotland","Scotland","19","Female","1750","730","0.418"
"2021","UK","Scotland","Scotland","19","Female","1835","730","0.397"
"2022","UK","Scotland","Scotland","19","Female","1590","615","0.387"
"2023","UK","Scotland","Scotland","19","Female","1455","720","0.496"
"2019","UK","Wales","Wales","19","Female","1145","470","0.41000000000000003"
"2020","UK","Wales","Wales","19","Female","910","370","0.40800000000000003"
"2021","UK","Wales","Wales","19","Female","960","390","0.40800000000000003"
"2022","UK","Wales","Wales","19","Female","855","345","0.402"
"2023","UK","Wales","Wales","19","Female","580","255","0.443"
"2019","International","EU (excluding UK)","Austria","19","Female","5","0"," "
"2020","International","EU (excluding UK)","Austria","19","Female","5","5"," "
"2020","International","EU (excluding UK)","Belgium","19","Female","5","0"," "
"2023","International","EU (excluding UK)","Belgium","19","Female","5","0"," "
"2019","International","EU (excluding UK)","Bulgaria","19","Female","5","0"," "
"2020","International","EU (excluding UK)","Bulgaria","19","Female","5","0"," "
"2019","International","EU (excluding UK)","France","19","Female","5","5"," "
"2021","International","EU (excluding UK)","France","19","Female","5","0"," "
"2019","International","EU (excluding UK)","Germany","19","Female","5","0"," "
"2022","International","EU (excluding UK)","Germany","19","Female","5","0"," "
"2023","International","EU (excluding UK)","Germany","19","Female","5","0"," "
"2019","International","EU (excluding UK)","Greece","19","Female","15","5"," "
"2022","International","EU (excluding UK)","Greece","19","Female","5","5"," "
"2023","International","EU (excluding UK)","Greece","19","Female","5","0"," "
"2019","International","EU (excluding UK)","Ireland","19","Female","1000","320","0.32"
"2020","International","EU (excluding UK)","Ireland","19","Female","940","325","0.34600000000000003"
"2021","International","EU (excluding UK)","Ireland","19","Female","1065","325","0.304"
"2022","International","EU (excluding UK)","Ireland","19","Female","705","210","0.299"
"2023","International","EU (excluding UK)","Ireland","19","Female","565","210","0.373"
"2019","International","EU (excluding UK)","Italy","19","Female","30","10","0.4"
"2020","International","EU (excluding UK)","Italy","19","Female","20","5"," "
"2021","International","EU (excluding UK)","Italy","19","Female","5","0"," "
"2022","International","EU (excluding UK)","Italy","19","Female","5","0"," "
"2023","International","EU (excluding UK)","Italy","19","Female","5","5"," "
"2019","International","EU (excluding UK)","Luxembourg","19","Female","5","5"," "
"2019","International","EU (excluding UK)","Netherlands","19","Female","10","5"," "
"2020","International","EU (excluding UK)","Netherlands","19","Female","5","0"," "
"2021","International","EU (excluding UK)","Netherlands","19","Female","5","0"," "
"2019","International","EU (excluding UK)","Poland","19","Female","5","0"," "
"2020","International","EU (excluding UK)","Poland","19","Female","10","0"," "
"2023","International","EU (excluding UK)","Poland","19","Female","5","0"," "
"2020","International","EU (excluding UK)","Portugal","19","Female","15","5"," "
"2021","International","EU (excluding UK)","Portugal","19","Female","10","0"," "
"2019","International","EU (excluding UK)","Romania","19","Female","5","5"," "
"2021","International","EU (excluding UK)","Romania","19","Female","5","0"," "
"2019","International","EU (excluding UK)","Spain","19","Female","10","0"," "
"2020","International","EU (excluding UK)","Spain","19","Female","20","5"," "
"2021","International","EU (excluding UK)","Spain","19","Female","10","5"," "
"2022","International","EU (excluding UK)","Spain","19","Female","15","0"," "
"2023","International","EU (excluding UK)","Spain","19","Female","15","5"," "
"2020","International","EU (excluding UK)","Sweden","19","Female","5","0"," "
"2022","International","EU (excluding UK)","Sweden","19","Female","5","0"," "
"2019","International","EU (excluding UK)","Estonia","19","Female","5","0"," "
"2023","International","EU (excluding UK)","Latvia","19","Female","5","0"," "
"2020","International","EU (excluding UK)","Lithuania","19","Female","10","0"," "
"2021","International","EU (excluding UK)","Lithuania","19","Female","5","0"," "
"2020","International","EU (excluding UK)","Croatia","19","Female","5","0"," "
"2023","International","EU (excluding UK)","Czech Republic","19","Female","5","0"," "
"2019","International","EU (excluding UK)","Slovakia","19","Female","5","0"," "
"2020","International","EU (excluding UK)","Slovakia","19","Female","5","0"," "
"2020","International","Not EU","Guernsey","19","Female","5","0"," "
"2023","International","Not EU","Guernsey","19","Female","5","0"," "
"2019","International","Not EU","Jersey","19","Female","5","5"," "
"2020","International","Not EU","Jersey","19","Female","5","5"," "
"2021","International","Not EU","Jersey","19","Female","25","10","0.44"
"2022","International","Not EU","Jersey","19","Female","10","5"," "
"2019","International","Not EU","Isle of Man","19","Female","15","10"," "
"2020","International","Not EU","Isle of Man","19","Female","5","0"," "
"2021","International","Not EU","Isle of Man","19","Female","10","5"," "
"2022","International","Not EU","Isle of Man","19","Female","20","5"," "
"2023","International","Not EU","Isle of Man","19","Female","5","5"," "
"2019","International","Not EU","Albania","19","Female","5","0"," "
"2019","International","Not EU","Angola","19","Female","5","0"," "
"2020","International","Not EU","Angola","19","Female","5","0"," "
"2020","International","Not EU","Australia","19","Female","15","0"," "
"2021","International","Not EU","Australia","19","Female","5","0"," "
"2023","International","Not EU","Australia","19","Female","5","0"," "
"2020","International","Not EU","Bahrain","19","Female","5","5"," "
"2022","International","Not EU","Bahrain","19","Female","5","0"," "
"2019","International","Not EU","Bermuda","19","Female","5","0"," "
"2020","International","Not EU","Bermuda","19","Female","5","0"," "
"2021","International","Not EU","Bermuda","19","Female","10","0"," "
"2022","International","Not EU","Bermuda","19","Female","10","0"," "
"2023","International","Not EU","Bermuda","19","Female","10","0"," "
"2022","International","Not EU","Brazil","19","Female","5","0"," "
"2023","International","Not EU","Burma (Myanmar)","19","Female","15","10","0.733"
"2023","International","Not EU","Cameroon","19","Female","15","0"," "
"2019","International","Not EU","Canada","19","Female","15","0"," "
"2022","International","Not EU","Canada","19","Female","5","0"," "
"2023","International","Not EU","Canada","19","Female","5","0"," "
"2022","International","Not EU","Sri Lanka","19","Female","5","0"," "
"2023","International","Not EU","Sri Lanka","19","Female","5","5"," "
"2019","International","Not EU","China","19","Female","5","5"," "
"2022","International","Not EU","China","19","Female","5","0"," "
"2023","International","Not EU","China","19","Female","5","0"," "
"2020","International","Not EU","Congo (Democratic Republic)","19","Female","5","0"," "
"2023","International","Not EU","Ecuador","19","Female","5","0"," "
"2020","International","Not EU","Gambia","19","Female","5","0"," "
"2020","International","Not EU","Ghana","19","Female","5","0"," "
"2021","International","Not EU","Ghana","19","Female","5","0"," "
"2022","International","Not EU","Ghana","19","Female","15","0"," "
"2023","International","Not EU","Ghana","19","Female","25","0"," "
"2019","International","Not EU","Gibraltar","19","Female","5","0"," "
"2020","International","Not EU","Gibraltar","19","Female","5","0"," "
"2022","International","Not EU","Gibraltar","19","Female","5","0"," "
"2019","International","Not EU","Hong Kong","19","Female","20","5"," "
"2020","International","Not EU","Hong Kong","19","Female","20","5"," "
