"Year","Difference between predicted and achieved BTEC Extended diploma points","POLAR4 Quintile","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2021","2 points","Quintile 2","Main scheme applicant","Not main scheme application","50","45","0.878","0"
"2022","2 points","Quintile 2","Main scheme applicant","Not main scheme application","45","35","0.733","0"
"2023","2 points","Quintile 2","Main scheme applicant","Not main scheme application","30","30","1","0"
"2010","3 points","Quintile 2","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","3 points","Quintile 2","Main scheme applicant","Not main scheme application","10","10","0.917","0"
"2012","3 points","Quintile 2","Main scheme applicant","Not main scheme application","30","25","0.781","0"
"2013","3 points","Quintile 2","Main scheme applicant","Not main scheme application","35","25","0.727","0"
"2014","3 points","Quintile 2","Main scheme applicant","Not main scheme application","35","20","0.629","0"
"2015","3 points","Quintile 2","Main scheme applicant","Not main scheme application","35","30","0.811","0"
"2016","3 points","Quintile 2","Main scheme applicant","Not main scheme application","25","20","0.741","0"
"2017","3 points","Quintile 2","Main scheme applicant","Not main scheme application","20","20","0.9500000000000001","0"
"2018","3 points","Quintile 2","Main scheme applicant","Not main scheme application","20","15","0.85","0"
"2019","3 points","Quintile 2","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","3 points","Quintile 2","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2021","3 points","Quintile 2","Main scheme applicant","Not main scheme application","15","15","0.929","0"
"2022","3 points","Quintile 2","Main scheme applicant","Not main scheme application","20","20","0.9","0"
"2023","3 points","Quintile 2","Main scheme applicant","Not main scheme application","10","10","1","0"
"2012","More than 3 points","Quintile 2","Main scheme applicant","Not main scheme application","15","10","0.8","0"
"2013","More than 3 points","Quintile 2","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","More than 3 points","Quintile 2","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2015","More than 3 points","Quintile 2","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","More than 3 points","Quintile 2","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2017","More than 3 points","Quintile 2","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","More than 3 points","Quintile 2","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","More than 3 points","Quintile 2","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","-1 points","Quintile 2","Main scheme applicant","Not main scheme application","35","25","0.686","0"
"2011","-1 points","Quintile 2","Main scheme applicant","Not main scheme application","45","25","0.614","0"
"2012","-1 points","Quintile 2","Main scheme applicant","Not main scheme application","55","40","0.704","0"
"2013","-1 points","Quintile 2","Main scheme applicant","Not main scheme application","45","35","0.841","0"
"2014","-1 points","Quintile 2","Main scheme applicant","Not main scheme application","60","45","0.763","0"
"2015","-1 points","Quintile 2","Main scheme applicant","Not main scheme application","75","65","0.853","0"
"2016","-1 points","Quintile 2","Main scheme applicant","Not main scheme application","65","50","0.742","0"
"2017","-1 points","Quintile 2","Main scheme applicant","Not main scheme application","55","45","0.833","0"
"2018","-1 points","Quintile 2","Main scheme applicant","Not main scheme application","40","40","0.927","0"
"2019","-1 points","Quintile 2","Main scheme applicant","Not main scheme application","60","55","0.914","0"
"2020","-1 points","Quintile 2","Main scheme applicant","Not main scheme application","60","50","0.833","0"
"2021","-1 points","Quintile 2","Main scheme applicant","Not main scheme application","75","65","0.8180000000000001","0"
"2022","-1 points","Quintile 2","Main scheme applicant","Not main scheme application","70","60","0.845","0"
"2023","-1 points","Quintile 2","Main scheme applicant","Not main scheme application","80","65","0.848","0"
"2010","-2 points","Quintile 2","Main scheme applicant","Not main scheme application","20","15","0.8","0"
"2011","-2 points","Quintile 2","Main scheme applicant","Not main scheme application","20","10","0.611","0"
"2012","-2 points","Quintile 2","Main scheme applicant","Not main scheme application","30","20","0.733","0"
"2013","-2 points","Quintile 2","Main scheme applicant","Not main scheme application","30","20","0.6880000000000001","0"
"2014","-2 points","Quintile 2","Main scheme applicant","Not main scheme application","40","35","0.854","0"
"2015","-2 points","Quintile 2","Main scheme applicant","Not main scheme application","45","35","0.804","0"
"2016","-2 points","Quintile 2","Main scheme applicant","Not main scheme application","35","30","0.848","0"
"2017","-2 points","Quintile 2","Main scheme applicant","Not main scheme application","25","20","0.808","0"
"2018","-2 points","Quintile 2","Main scheme applicant","Not main scheme application","25","20","0.84","0"
"2019","-2 points","Quintile 2","Main scheme applicant","Not main scheme application","45","40","0.884","0"
"2020","-2 points","Quintile 2","Main scheme applicant","Not main scheme application","30","25","0.857","0"
"2021","-2 points","Quintile 2","Main scheme applicant","Not main scheme application","35","35","0.9430000000000001","0"
"2022","-2 points","Quintile 2","Main scheme applicant","Not main scheme application","45","40","0.891","0"
"2023","-2 points","Quintile 2","Main scheme applicant","Not main scheme application","50","40","0.857","0"
"2010","-3 points","Quintile 2","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-3 points","Quintile 2","Main scheme applicant","Not main scheme application","15","10","0.667","0"
"2012","-3 points","Quintile 2","Main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2013","-3 points","Quintile 2","Main scheme applicant","Not main scheme application","20","10","0.667","0"
"2014","-3 points","Quintile 2","Main scheme applicant","Not main scheme application","30","20","0.759","0"
"2015","-3 points","Quintile 2","Main scheme applicant","Not main scheme application","25","20","0.913","0"
"2016","-3 points","Quintile 2","Main scheme applicant","Not main scheme application","30","20","0.6880000000000001","0"
"2017","-3 points","Quintile 2","Main scheme applicant","Not main scheme application","15","10","0.786","0"
"2018","-3 points","Quintile 2","Main scheme applicant","Not main scheme application","30","25","0.793","0"
"2019","-3 points","Quintile 2","Main scheme applicant","Not main scheme application","20","15","0.895","0"
"2020","-3 points","Quintile 2","Main scheme applicant","Not main scheme application","20","20","0.864","0"
"2021","-3 points","Quintile 2","Main scheme applicant","Not main scheme application","30","30","0.968","0"
"2022","-3 points","Quintile 2","Main scheme applicant","Not main scheme application","30","25","0.781","0"
"2023","-3 points","Quintile 2","Main scheme applicant","Not main scheme application","25","25","0.92","0"
"2010","-4 points","Quintile 2","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-4 points","Quintile 2","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","-4 points","Quintile 2","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","-4 points","Quintile 2","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2014","-4 points","Quintile 2","Main scheme applicant","Not main scheme application","15","10","0.667","0"
"2015","-4 points","Quintile 2","Main scheme applicant","Not main scheme application","20","15","0.8","0"
"2016","-4 points","Quintile 2","Main scheme applicant","Not main scheme application","10","10","0.917","0"
"2017","-4 points","Quintile 2","Main scheme applicant","Not main scheme application","15","15","0.9380000000000001","0"
"2018","-4 points","Quintile 2","Main scheme applicant","Not main scheme application","10","10","0.917","0"
"2019","-4 points","Quintile 2","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","-4 points","Quintile 2","Main scheme applicant","Not main scheme application","10","10","1","0"
"2021","-4 points","Quintile 2","Main scheme applicant","Not main scheme application","20","15","0.85","0"
"2022","-4 points","Quintile 2","Main scheme applicant","Not main scheme application","15","15","0.875","0"
"2023","-4 points","Quintile 2","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-5 points","Quintile 2","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-5 points","Quintile 2","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-5 points","Quintile 2","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-5 points","Quintile 2","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-5 points","Quintile 2","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2016","-5 points","Quintile 2","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2017","-5 points","Quintile 2","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-5 points","Quintile 2","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","-5 points","Quintile 2","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-5 points","Quintile 2","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","-5 points","Quintile 2","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","-5 points","Quintile 2","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","-5 points","Quintile 2","Main scheme applicant","Not main scheme application","15","10","0.786","0"
"2011","-6 points","Quintile 2","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-6 points","Quintile 2","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-6 points","Quintile 2","Main scheme applicant","Not main scheme application","5","5"," ","0"
