"Year","Ethnic group","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate"
"2022","White","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","80","45","0.582"
"2023","White","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","90","65","0.716"
"2019","White","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","White","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","15","5"," "
"2021","White","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","15","5"," "
"2022","White","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","White","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2019","Black","35 and over","England","Female","Not main scheme applicant","Not main scheme application","310","255","0.811"
"2020","Black","35 and over","England","Female","Not main scheme applicant","Not main scheme application","350","255","0.728"
"2021","Black","35 and over","England","Female","Not main scheme applicant","Not main scheme application","260","200","0.775"
"2022","Black","35 and over","England","Female","Not main scheme applicant","Not main scheme application","310","225","0.718"
"2023","Black","35 and over","England","Female","Not main scheme applicant","Not main scheme application","430","320","0.751"
"2019","Black","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Black","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2021","Black","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Black","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2023","Black","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","15","10","0.769"
"2019","Asian","35 and over","England","Female","Not main scheme applicant","Not main scheme application","20","20","0.8180000000000001"
"2020","Asian","35 and over","England","Female","Not main scheme applicant","Not main scheme application","35","25","0.75"
"2021","Asian","35 and over","England","Female","Not main scheme applicant","Not main scheme application","30","20","0.679"
"2022","Asian","35 and over","England","Female","Not main scheme applicant","Not main scheme application","35","30","0.757"
"2023","Asian","35 and over","England","Female","Not main scheme applicant","Not main scheme application","50","40","0.78"
"2019","Asian","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Asian","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Mixed","35 and over","England","Female","Not main scheme applicant","Not main scheme application","15","15","0.765"
"2020","Mixed","35 and over","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.7000000000000001"
"2021","Mixed","35 and over","England","Female","Not main scheme applicant","Not main scheme application","20","10","0.611"
"2022","Mixed","35 and over","England","Female","Not main scheme applicant","Not main scheme application","25","20","0.731"
"2023","Mixed","35 and over","England","Female","Not main scheme applicant","Not main scheme application","20","15","0.773"
"2022","Mixed","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Mixed","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","Other","35 and over","England","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2020","Other","35 and over","England","Female","Not main scheme applicant","Not main scheme application","15","10","0.923"
"2021","Other","35 and over","England","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Other","35 and over","England","Female","Not main scheme applicant","Not main scheme application","10","5"," "
"2023","Other","35 and over","England","Female","Not main scheme applicant","Not main scheme application","10","10"," "
"2019","Unknown or Prefer Not To Say","35 and over","England","Female","Not main scheme applicant","Not main scheme application","50","45","0.9580000000000001"
"2020","Unknown or Prefer Not To Say","35 and over","England","Female","Not main scheme applicant","Not main scheme application","75","65","0.89"
"2021","Unknown or Prefer Not To Say","35 and over","England","Female","Not main scheme applicant","Not main scheme application","50","45","0.9"
"2022","Unknown or Prefer Not To Say","35 and over","England","Female","Not main scheme applicant","Not main scheme application","30","20","0.759"
"2023","Unknown or Prefer Not To Say","35 and over","England","Female","Not main scheme applicant","Not main scheme application","30","30","0.903"
"2020","Unknown or Prefer Not To Say","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","Unknown or Prefer Not To Say","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","Unknown or Prefer Not To Say","35 and over","Scotland","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Unknown or Prefer Not To Say","35 and over","Wales","Female","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","White","17 and under","Scotland","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","White","18","England","Male","Not main scheme applicant","Not main scheme application","5","0"," "
"2020","White","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","White","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Black","18","England","Male","Not main scheme applicant","Not main scheme application","5","0"," "
"2023","Asian","18","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","White","19","England","Male","Not main scheme applicant","Not main scheme application","5","0"," "
"2020","White","19","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","White","19","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2022","White","19","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","White","19","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","Black","19","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2021","Black","19","England","Male","Not main scheme applicant","Not main scheme application","5","0"," "
"2022","Black","19","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Black","19","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2023","Asian","19","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2019","White","20","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
"2020","White","20","England","Male","Not main scheme applicant","Not main scheme application","5","5"," "
