"Year","Achieved SQA advanced higher points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2021","12 point(s)","18","All","Female","Main scheme applicant","Main scheme application","705","635","0.906","0"
"2022","12 point(s)","18","All","Female","Main scheme applicant","Main scheme application","470","435","0.917","0"
"2023","12 point(s)","18","All","Female","Main scheme applicant","Main scheme application","415","390","0.9400000000000001","0"
"2023","3 point(s)","18","All","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2010","4 point(s)","18","All","Male","Main scheme applicant","Main scheme application","10","5"," ","0"
"2011","4 point(s)","18","All","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2012","4 point(s)","18","All","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2013","4 point(s)","18","All","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2014","4 point(s)","18","All","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2015","4 point(s)","18","All","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2016","4 point(s)","18","All","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2017","4 point(s)","18","All","Male","Main scheme applicant","Main scheme application","10","5"," ","0"
"2018","4 point(s)","18","All","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","4 point(s)","18","All","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2020","4 point(s)","18","All","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2021","4 point(s)","18","All","Male","Main scheme applicant","Main scheme application","5","5"," ","0"
"2022","4 point(s)","18","All","Male","Main scheme applicant","Main scheme application","15","15","0.929","0"
"2023","4 point(s)","18","All","Male","Main scheme applicant","Main scheme application","20","20","1","0"
"2010","5 point(s)","18","All","Male","Main scheme applicant","Main scheme application","15","10","0.857","0"
"2011","5 point(s)","18","All","Male","Main scheme applicant","Main scheme application","15","15","1","0"
"2012","5 point(s)","18","All","Male","Main scheme applicant","Main scheme application","20","15","0.81","0"
"2013","5 point(s)","18","All","Male","Main scheme applicant","Main scheme application","20","20","0.9550000000000001","0"
"2014","5 point(s)","18","All","Male","Main scheme applicant","Main scheme application","20","20","0.9","0"
"2015","5 point(s)","18","All","Male","Main scheme applicant","Main scheme application","25","20","0.75","0"
"2016","5 point(s)","18","All","Male","Main scheme applicant","Main scheme application","20","15","0.889","0"
"2017","5 point(s)","18","All","Male","Main scheme applicant","Main scheme application","20","15","0.85","0"
"2018","5 point(s)","18","All","Male","Main scheme applicant","Main scheme application","20","15","0.778","0"
"2019","5 point(s)","18","All","Male","Main scheme applicant","Main scheme application","15","15","1","0"
"2020","5 point(s)","18","All","Male","Main scheme applicant","Main scheme application","15","15","0.765","0"
"2021","5 point(s)","18","All","Male","Main scheme applicant","Main scheme application","15","10","0.8","0"
"2022","5 point(s)","18","All","Male","Main scheme applicant","Main scheme application","30","25","0.893","0"
"2023","5 point(s)","18","All","Male","Main scheme applicant","Main scheme application","40","40","0.9500000000000001","0"
"2010","6 point(s)","18","All","Male","Main scheme applicant","Main scheme application","35","35","0.9430000000000001","0"
"2011","6 point(s)","18","All","Male","Main scheme applicant","Main scheme application","30","25","0.8280000000000001","0"
"2012","6 point(s)","18","All","Male","Main scheme applicant","Main scheme application","35","35","0.919","0"
"2013","6 point(s)","18","All","Male","Main scheme applicant","Main scheme application","45","35","0.86","0"
"2014","6 point(s)","18","All","Male","Main scheme applicant","Main scheme application","40","40","0.976","0"
"2015","6 point(s)","18","All","Male","Main scheme applicant","Main scheme application","35","25","0.771","0"
"2016","6 point(s)","18","All","Male","Main scheme applicant","Main scheme application","35","35","0.972","0"
"2017","6 point(s)","18","All","Male","Main scheme applicant","Main scheme application","50","45","0.92","0"
"2018","6 point(s)","18","All","Male","Main scheme applicant","Main scheme application","45","35","0.8140000000000001","0"
