"Year","Achieved BTEC Extended diploma points","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","5 points (DMM)","All","Northern Ireland","Male","Main scheme applicant","All","45","30","0.651","0"
"2010","5 points (DMM)","All","England","Male","Main scheme applicant","All","1400","1160","0.8280000000000001","0"
"2011","5 points (DMM)","All","England","Male","Main scheme applicant","All","1440","1235","0.858","0"
"2012","5 points (DMM)","All","England","Male","Main scheme applicant","All","1320","1135","0.858","0"
"2013","5 points (DMM)","All","England","Male","Main scheme applicant","All","1450","1280","0.883","0"
"2014","5 points (DMM)","All","England","Male","Main scheme applicant","All","1580","1390","0.88","0"
"2015","5 points (DMM)","All","England","Male","Main scheme applicant","All","1535","1350","0.878","0"
"2016","5 points (DMM)","All","England","Male","Main scheme applicant","All","1400","1215","0.867","0"
"2017","5 points (DMM)","All","England","Male","Main scheme applicant","All","1205","1060","0.878","0"
"2018","5 points (DMM)","All","England","Male","Main scheme applicant","All","1135","985","0.869","0"
"2019","5 points (DMM)","All","England","Male","Main scheme applicant","All","1150","1015","0.882","0"
"2020","5 points (DMM)","All","England","Male","Main scheme applicant","All","1095","985","0.901","0"
"2021","5 points (DMM)","All","England","Male","Main scheme applicant","All","1285","1120","0.871","0"
"2022","5 points (DMM)","All","England","Male","Main scheme applicant","All","1395","1185","0.849","0"
"2023","5 points (DMM)","All","England","Male","Main scheme applicant","All","1405","1170","0.8300000000000001","0"
"2010","5 points (DMM)","All","Scotland","Male","Main scheme applicant","All","5","5"," ","0"
"2010","5 points (DMM)","All","Wales","Male","Main scheme applicant","All","75","55","0.767","0"
"2011","5 points (DMM)","All","Wales","Male","Main scheme applicant","All","55","45","0.855","0"
"2012","5 points (DMM)","All","Wales","Male","Main scheme applicant","All","60","45","0.767","0"
"2013","5 points (DMM)","All","Wales","Male","Main scheme applicant","All","60","50","0.79","0"
"2014","5 points (DMM)","All","Wales","Male","Main scheme applicant","All","65","60","0.921","0"
"2015","5 points (DMM)","All","Wales","Male","Main scheme applicant","All","65","50","0.776","0"
"2016","5 points (DMM)","All","Wales","Male","Main scheme applicant","All","75","70","0.883","0"
"2017","5 points (DMM)","All","Wales","Male","Main scheme applicant","All","70","60","0.857","0"
"2018","5 points (DMM)","All","Wales","Male","Main scheme applicant","All","70","60","0.871","0"
"2019","5 points (DMM)","All","Wales","Male","Main scheme applicant","All","55","50","0.889","0"
"2020","5 points (DMM)","All","Wales","Male","Main scheme applicant","All","60","55","0.914","0"
"2021","5 points (DMM)","All","Wales","Male","Main scheme applicant","All","60","50","0.833","0"
"2022","5 points (DMM)","All","Wales","Male","Main scheme applicant","All","50","35","0.706","0"
"2023","5 points (DMM)","All","Wales","Male","Main scheme applicant","All","60","50","0.8","0"
"2010","6 points (DDM)","All","Northern Ireland","Male","Main scheme applicant","All","55","45","0.8300000000000001","0"
"2011","6 points (DDM)","All","Northern Ireland","Male","Main scheme applicant","All","40","25","0.667","0"
"2012","6 points (DDM)","All","Northern Ireland","Male","Main scheme applicant","All","35","30","0.806","0"
"2013","6 points (DDM)","All","Northern Ireland","Male","Main scheme applicant","All","35","25","0.706","0"
"2014","6 points (DDM)","All","Northern Ireland","Male","Main scheme applicant","All","40","35","0.857","0"
"2015","6 points (DDM)","All","Northern Ireland","Male","Main scheme applicant","All","55","45","0.811","0"
"2016","6 points (DDM)","All","Northern Ireland","Male","Main scheme applicant","All","50","35","0.6920000000000001","0"
"2017","6 points (DDM)","All","Northern Ireland","Male","Main scheme applicant","All","40","30","0.7000000000000001","0"
"2018","6 points (DDM)","All","Northern Ireland","Male","Main scheme applicant","All","40","30","0.714","0"
"2019","6 points (DDM)","All","Northern Ireland","Male","Main scheme applicant","All","35","25","0.639","0"
"2020","6 points (DDM)","All","Northern Ireland","Male","Main scheme applicant","All","35","25","0.722","0"
"2021","6 points (DDM)","All","Northern Ireland","Male","Main scheme applicant","All","25","20","0.769","0"
"2022","6 points (DDM)","All","Northern Ireland","Male","Main scheme applicant","All","35","25","0.73","0"
"2023","6 points (DDM)","All","Northern Ireland","Male","Main scheme applicant","All","40","25","0.625","0"
"2010","6 points (DDM)","All","England","Male","Main scheme applicant","All","1280","1080","0.842","0"
"2011","6 points (DDM)","All","England","Male","Main scheme applicant","All","1325","1155","0.871","0"
"2012","6 points (DDM)","All","England","Male","Main scheme applicant","All","1210","1045","0.864","0"
"2013","6 points (DDM)","All","England","Male","Main scheme applicant","All","1450","1275","0.881","0"
"2014","6 points (DDM)","All","England","Male","Main scheme applicant","All","1645","1450","0.881","0"
"2015","6 points (DDM)","All","England","Male","Main scheme applicant","All","1645","1465","0.889","0"
"2016","6 points (DDM)","All","England","Male","Main scheme applicant","All","1635","1440","0.882","0"
"2017","6 points (DDM)","All","England","Male","Main scheme applicant","All","1420","1265","0.888","0"
"2018","6 points (DDM)","All","England","Male","Main scheme applicant","All","1295","1125","0.868","0"
"2019","6 points (DDM)","All","England","Male","Main scheme applicant","All","1225","1075","0.88","0"
"2020","6 points (DDM)","All","England","Male","Main scheme applicant","All","1185","1030","0.868","0"
"2021","6 points (DDM)","All","England","Male","Main scheme applicant","All","1430","1250","0.874","0"
"2022","6 points (DDM)","All","England","Male","Main scheme applicant","All","1490","1275","0.858","0"
