"Year","Acceptance route","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Accepted applicants"
"2023","Main scheme Clearing","18","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5"
"2023","Main scheme Clearing","19","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5"
"2019","Main scheme Clearing","25 - 29","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5"
"2019","Main scheme Clearing","30 - 34","Northern Ireland","Female","Main scheme applicant","Not main scheme application","5"
"2019","Extra","18","England","Female","Main scheme applicant","Not main scheme application","15"
"2020","Extra","18","England","Female","Main scheme applicant","Not main scheme application","15"
"2021","Extra","18","England","Female","Main scheme applicant","Not main scheme application","15"
"2022","Extra","18","England","Female","Main scheme applicant","Not main scheme application","20"
"2023","Extra","18","England","Female","Main scheme applicant","Not main scheme application","10"
"2019","Main scheme Clearing","18","England","Female","Main scheme applicant","Not main scheme application","65"
"2020","Main scheme Clearing","18","England","Female","Main scheme applicant","Not main scheme application","75"
"2021","Main scheme Clearing","18","England","Female","Main scheme applicant","Not main scheme application","25"
"2022","Main scheme Clearing","18","England","Female","Main scheme applicant","Not main scheme application","90"
"2023","Main scheme Clearing","18","England","Female","Main scheme applicant","Not main scheme application","125"
"2019","Extra","19","England","Female","Main scheme applicant","Not main scheme application","5"
"2020","Extra","19","England","Female","Main scheme applicant","Not main scheme application","5"
"2021","Extra","19","England","Female","Main scheme applicant","Not main scheme application","5"
"2022","Extra","19","England","Female","Main scheme applicant","Not main scheme application","5"
"2023","Extra","19","England","Female","Main scheme applicant","Not main scheme application","5"
"2019","Main scheme Clearing","19","England","Female","Main scheme applicant","Not main scheme application","25"
"2020","Main scheme Clearing","19","England","Female","Main scheme applicant","Not main scheme application","15"
"2021","Main scheme Clearing","19","England","Female","Main scheme applicant","Not main scheme application","5"
"2022","Main scheme Clearing","19","England","Female","Main scheme applicant","Not main scheme application","20"
"2023","Main scheme Clearing","19","England","Female","Main scheme applicant","Not main scheme application","35"
"2020","Extra","20","England","Female","Main scheme applicant","Not main scheme application","5"
"2021","Extra","20","England","Female","Main scheme applicant","Not main scheme application","5"
"2023","Extra","20","England","Female","Main scheme applicant","Not main scheme application","5"
"2019","Main scheme Clearing","20","England","Female","Main scheme applicant","Not main scheme application","15"
"2020","Main scheme Clearing","20","England","Female","Main scheme applicant","Not main scheme application","10"
"2021","Main scheme Clearing","20","England","Female","Main scheme applicant","Not main scheme application","5"
"2022","Main scheme Clearing","20","England","Female","Main scheme applicant","Not main scheme application","10"
"2023","Main scheme Clearing","20","England","Female","Main scheme applicant","Not main scheme application","20"
"2019","Extra","21 - 24","England","Female","Main scheme applicant","Not main scheme application","5"
"2020","Extra","21 - 24","England","Female","Main scheme applicant","Not main scheme application","5"
"2021","Extra","21 - 24","England","Female","Main scheme applicant","Not main scheme application","5"
"2023","Extra","21 - 24","England","Female","Main scheme applicant","Not main scheme application","5"
"2019","Main scheme Clearing","21 - 24","England","Female","Main scheme applicant","Not main scheme application","25"
"2020","Main scheme Clearing","21 - 24","England","Female","Main scheme applicant","Not main scheme application","15"
"2021","Main scheme Clearing","21 - 24","England","Female","Main scheme applicant","Not main scheme application","20"
"2022","Main scheme Clearing","21 - 24","England","Female","Main scheme applicant","Not main scheme application","20"
"2023","Main scheme Clearing","21 - 24","England","Female","Main scheme applicant","Not main scheme application","20"
"2019","Extra","25 - 29","England","Female","Main scheme applicant","Not main scheme application","5"
"2022","Extra","25 - 29","England","Female","Main scheme applicant","Not main scheme application","5"
"2019","Main scheme Clearing","25 - 29","England","Female","Main scheme applicant","Not main scheme application","25"
"2020","Main scheme Clearing","25 - 29","England","Female","Main scheme applicant","Not main scheme application","20"
"2021","Main scheme Clearing","25 - 29","England","Female","Main scheme applicant","Not main scheme application","15"
"2022","Main scheme Clearing","25 - 29","England","Female","Main scheme applicant","Not main scheme application","20"
"2023","Main scheme Clearing","25 - 29","England","Female","Main scheme applicant","Not main scheme application","25"
"2019","Extra","30 - 34","England","Female","Main scheme applicant","Not main scheme application","5"
"2023","Extra","30 - 34","England","Female","Main scheme applicant","Not main scheme application","5"
"2019","Main scheme Clearing","30 - 34","England","Female","Main scheme applicant","Not main scheme application","15"
"2020","Main scheme Clearing","30 - 34","England","Female","Main scheme applicant","Not main scheme application","5"
"2021","Main scheme Clearing","30 - 34","England","Female","Main scheme applicant","Not main scheme application","15"
"2022","Main scheme Clearing","30 - 34","England","Female","Main scheme applicant","Not main scheme application","10"
"2023","Main scheme Clearing","30 - 34","England","Female","Main scheme applicant","Not main scheme application","15"
"2022","Extra","35 and over","England","Female","Main scheme applicant","Not main scheme application","5"
"2023","Extra","35 and over","England","Female","Main scheme applicant","Not main scheme application","5"
"2019","Main scheme Clearing","35 and over","England","Female","Main scheme applicant","Not main scheme application","15"
"2020","Main scheme Clearing","35 and over","England","Female","Main scheme applicant","Not main scheme application","20"
"2021","Main scheme Clearing","35 and over","England","Female","Main scheme applicant","Not main scheme application","10"
"2022","Main scheme Clearing","35 and over","England","Female","Main scheme applicant","Not main scheme application","15"
"2023","Main scheme Clearing","35 and over","England","Female","Main scheme applicant","Not main scheme application","25"
"2019","Main scheme Clearing","18","Scotland","Female","Main scheme applicant","Not main scheme application","5"
"2020","Main scheme Clearing","18","Scotland","Female","Main scheme applicant","Not main scheme application","10"
"2019","Main scheme Clearing","19","Scotland","Female","Main scheme applicant","Not main scheme application","5"
