"Year","UK region declared county of residence","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2021","All","21 - 24","Scotland","Female","All","Main scheme application","5625","3165","0.5630000000000001","0"
"2022","All","21 - 24","Scotland","Female","All","Main scheme application","4450","2620","0.589","0"
"2023","All","21 - 24","Scotland","Female","All","Main scheme application","4085","2550","0.624","0"
"2006","All","21 - 24","Wales","Female","All","Main scheme application","1120","595","0.533","0"
"2007","All","21 - 24","Wales","Female","All","Main scheme application","1150","645","0.562","0"
"2008","All","21 - 24","Wales","Female","All","Main scheme application","1280","745","0.582","0"
"2009","All","21 - 24","Wales","Female","All","Main scheme application","1505","900","0.596","0"
"2010","All","21 - 24","Wales","Female","All","Main scheme application","1605","795","0.495","0"
"2011","All","21 - 24","Wales","Female","All","Main scheme application","1690","800","0.47400000000000003","0"
"2012","All","21 - 24","Wales","Female","All","Main scheme application","1695","805","0.47300000000000003","0"
"2013","All","21 - 24","Wales","Female","All","Main scheme application","1640","885","0.539","0"
"2014","All","21 - 24","Wales","Female","All","Main scheme application","1695","945","0.557","0"
"2015","All","21 - 24","Wales","Female","All","Main scheme application","1590","890","0.559","0"
"2016","All","21 - 24","Wales","Female","All","Main scheme application","1655","950","0.5740000000000001","0"
"2017","All","21 - 24","Wales","Female","All","Main scheme application","1490","960","0.643","0"
"2018","All","21 - 24","Wales","Female","All","Main scheme application","1380","875","0.636","0"
"2019","All","21 - 24","Wales","Female","All","Main scheme application","1425","925","0.65","0"
"2020","All","21 - 24","Wales","Female","All","Main scheme application","1440","940","0.653","0"
"2021","All","21 - 24","Wales","Female","All","Main scheme application","1555","910","0.586","0"
"2022","All","21 - 24","Wales","Female","All","Main scheme application","1705","1080","0.632","0"
"2023","All","21 - 24","Wales","Female","All","Main scheme application","1525","960","0.632","0"
"2006","All","25 - 29","Northern Ireland","Female","All","Main scheme application","335","145","0.434","0"
"2007","All","25 - 29","Northern Ireland","Female","All","Main scheme application","355","175","0.493","0"
"2008","All","25 - 29","Northern Ireland","Female","All","Main scheme application","300","155","0.52","0"
"2009","All","25 - 29","Northern Ireland","Female","All","Main scheme application","315","160","0.505","0"
"2010","All","25 - 29","Northern Ireland","Female","All","Main scheme application","465","230","0.49","0"
"2011","All","25 - 29","Northern Ireland","Female","All","Main scheme application","485","220","0.45","0"
"2012","All","25 - 29","Northern Ireland","Female","All","Main scheme application","425","185","0.435","0"
"2013","All","25 - 29","Northern Ireland","Female","All","Main scheme application","570","240","0.418","0"
"2014","All","25 - 29","Northern Ireland","Female","All","Main scheme application","595","225","0.379","0"
"2015","All","25 - 29","Northern Ireland","Female","All","Main scheme application","580","260","0.451","0"
"2016","All","25 - 29","Northern Ireland","Female","All","Main scheme application","565","255","0.455","0"
"2017","All","25 - 29","Northern Ireland","Female","All","Main scheme application","490","225","0.456","0"
"2018","All","25 - 29","Northern Ireland","Female","All","Main scheme application","480","230","0.47800000000000004","0"
"2019","All","25 - 29","Northern Ireland","Female","All","Main scheme application","435","230","0.531","0"
"2020","All","25 - 29","Northern Ireland","Female","All","Main scheme application","455","240","0.527","0"
"2021","All","25 - 29","Northern Ireland","Female","All","Main scheme application","575","235","0.40700000000000003","0"
"2022","All","25 - 29","Northern Ireland","Female","All","Main scheme application","420","195","0.46900000000000003","0"
