"Year","Refugee and asylum seeker status","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2023","Not declared","21 - 24","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","No","25 - 29","Northern Ireland","Female","Main scheme applicant","Not main scheme application","35","30","0.784","0"
"2023","No","25 - 29","England","Female","Main scheme applicant","Not main scheme application","590","385","0.653","0"
"2023","No","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","80","50","0.642","0"
"2023","No","25 - 29","Wales","Female","Main scheme applicant","Not main scheme application","50","35","0.68","0"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","25 - 29","England","Female","Main scheme applicant","Not main scheme application","20","15","0.65","0"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","I have limited or discretionary leave to remain in the UK","25 - 29","England","Female","Main scheme applicant","Not main scheme application","15","5"," ","0"
"2023","I'm currently seeking asylum in the UK","25 - 29","England","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Not declared","25 - 29","England","Female","Main scheme applicant","Not main scheme application","20","10","0.545","0"
"2023","Not declared","25 - 29","Scotland","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","No","30 - 34","Northern Ireland","Female","Main scheme applicant","Not main scheme application","25","20","0.8150000000000001","0"
"2023","No","30 - 34","England","Female","Main scheme applicant","Not main scheme application","420","260","0.619","0"
"2023","No","30 - 34","Scotland","Female","Main scheme applicant","Not main scheme application","55","35","0.611","0"
"2023","No","30 - 34","Wales","Female","Main scheme applicant","Not main scheme application","30","25","0.871","0"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","30 - 34","England","Female","Main scheme applicant","Not main scheme application","20","10","0.5","0"
"2023","I have limited or discretionary leave to remain in the UK","30 - 34","England","Female","Main scheme applicant","Not main scheme application","15","10","0.706","0"
"2023","I'm currently seeking asylum in the UK","30 - 34","England","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Not declared","30 - 34","England","Female","Main scheme applicant","Not main scheme application","20","20","0.9500000000000001","0"
"2023","No","35 and over","Northern Ireland","Female","Main scheme applicant","Not main scheme application","35","35","0.9460000000000001","0"
"2023","No","35 and over","England","Female","Main scheme applicant","Not main scheme application","930","585","0.63","0"
"2023","No","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","95","55","0.585","0"
"2023","No","35 and over","Wales","Female","Main scheme applicant","Not main scheme application","40","35","0.857","0"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","35 and over","England","Female","Main scheme applicant","Not main scheme application","45","35","0.717","0"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","I have limited or discretionary leave to remain in the UK","35 and over","England","Female","Main scheme applicant","Not main scheme application","55","30","0.554","0"
"2023","I have limited or discretionary leave to remain in the UK","35 and over","Scotland","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","I'm currently seeking asylum in the UK","35 and over","England","Female","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2023","Not declared","35 and over","England","Female","Main scheme applicant","Not main scheme application","55","30","0.527","0"
"2023","No","17 and under","England","Male","Main scheme applicant","Not main scheme application","55","35","0.667","0"
"2023","No","17 and under","Scotland","Male","Main scheme applicant","Not main scheme application","20","15","0.7000000000000001","0"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","17 and under","England","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","I have limited or discretionary leave to remain in the UK","17 and under","England","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","Not declared","17 and under","England","Male","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","No","18","Northern Ireland","Male","Main scheme applicant","Not main scheme application","330","285","0.858","0"
"2023","No","18","England","Male","Main scheme applicant","Not main scheme application","17450","16200","0.928","0"
"2023","No","18","Scotland","Male","Main scheme applicant","Not main scheme application","390","340","0.871","0"
"2023","No","18","Wales","Male","Main scheme applicant","Not main scheme application","435","395","0.903","0"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","18","England","Male","Main scheme applicant","Not main scheme application","115","105","0.897","0"
"2023","The UK government has granted me refugee status or  humanitarian protection in the UK","18","Scotland","Male","Main scheme applicant","Not main scheme application","5","5"," ","0"
