"Year","POLAR4 Quintile","Age group","Domicile","Gender","Registered for Clearing Plus","Placed at provider of interest through Clearing Plus","Placed on course of interest through Clearing Plus"
"2021","Quintile 2","21 - 24","All","Male","70","35","20"
"2022","Quintile 2","21 - 24","All","Male","60","35","25"
"2023","Quintile 2","21 - 24","All","Male","85","50","30"
"2020","Quintile 3","21 - 24","All","Male","110","65","40"
"2021","Quintile 3","21 - 24","All","Male","70","25","15"
"2022","Quintile 3","21 - 24","All","Male","60","25","20"
"2023","Quintile 3","21 - 24","All","Male","110","45","30"
"2020","Quintile 4","21 - 24","All","Male","125","65","50"
"2021","Quintile 4","21 - 24","All","Male","80","30","25"
"2022","Quintile 4","21 - 24","All","Male","55","25","15"
"2023","Quintile 4","21 - 24","All","Male","125","55","35"
"2020","Quintile 5","21 - 24","All","Male","135","75","55"
"2021","Quintile 5","21 - 24","All","Male","75","25","20"
"2022","Quintile 5","21 - 24","All","Male","70","30","25"
"2023","Quintile 5","21 - 24","All","Male","105","45","35"
"2020","Quintile 1","25 - 29","All","Male","40","10","5"
"2021","Quintile 1","25 - 29","All","Male","25","5","5"
"2022","Quintile 1","25 - 29","All","Male","20","10","5"
"2023","Quintile 1","25 - 29","All","Male","40","10","5"
"2020","Quintile 2","25 - 29","All","Male","45","20","15"
"2021","Quintile 2","25 - 29","All","Male","35","15","10"
"2022","Quintile 2","25 - 29","All","Male","20","10","5"
"2023","Quintile 2","25 - 29","All","Male","35","10","5"
"2020","Quintile 3","25 - 29","All","Male","40","25","20"
"2021","Quintile 3","25 - 29","All","Male","35","15","10"
"2022","Quintile 3","25 - 29","All","Male","30","10","10"
"2023","Quintile 3","25 - 29","All","Male","45","15","10"
"2020","Quintile 4","25 - 29","All","Male","50","20","15"
"2021","Quintile 4","25 - 29","All","Male","25","10","5"
"2022","Quintile 4","25 - 29","All","Male","25","15","10"
"2023","Quintile 4","25 - 29","All","Male","30","15","10"
"2020","Quintile 5","25 - 29","All","Male","60","20","15"
"2021","Quintile 5","25 - 29","All","Male","30","15","10"
"2022","Quintile 5","25 - 29","All","Male","25","10","5"
"2023","Quintile 5","25 - 29","All","Male","40","20","15"
"2020","Quintile 1","30 - 34","All","Male","25","10","5"
"2021","Quintile 1","30 - 34","All","Male","15","5","5"
"2022","Quintile 1","30 - 34","All","Male","10","0","0"
"2023","Quintile 1","30 - 34","All","Male","20","5","0"
"2020","Quintile 2","30 - 34","All","Male","25","10","10"
"2021","Quintile 2","30 - 34","All","Male","25","5","5"
"2022","Quintile 2","30 - 34","All","Male","20","5","5"
"2023","Quintile 2","30 - 34","All","Male","30","15","5"
"2020","Quintile 3","30 - 34","All","Male","35","10","5"
"2021","Quintile 3","30 - 34","All","Male","15","0","0"
"2022","Quintile 3","30 - 34","All","Male","15","5","0"
"2023","Quintile 3","30 - 34","All","Male","25","10","5"
"2020","Quintile 4","30 - 34","All","Male","30","15","10"
"2021","Quintile 4","30 - 34","All","Male","20","5","5"
"2022","Quintile 4","30 - 34","All","Male","20","5","5"
"2023","Quintile 4","30 - 34","All","Male","15","5","5"
"2020","Quintile 5","30 - 34","All","Male","40","15","10"
"2021","Quintile 5","30 - 34","All","Male","15","5","5"
"2022","Quintile 5","30 - 34","All","Male","10","5","5"
"2023","Quintile 5","30 - 34","All","Male","20","5","5"
"2020","Quintile 1","35 and over","All","Male","60","20","10"
"2021","Quintile 1","35 and over","All","Male","45","10","5"
"2022","Quintile 1","35 and over","All","Male","50","15","5"
"2023","Quintile 1","35 and over","All","Male","55","15","5"
"2020","Quintile 2","35 and over","All","Male","80","30","25"
"2021","Quintile 2","35 and over","All","Male","40","10","5"
"2022","Quintile 2","35 and over","All","Male","50","5","5"
"2023","Quintile 2","35 and over","All","Male","60","15","10"
"2020","Quintile 3","35 and over","All","Male","65","30","20"
"2021","Quintile 3","35 and over","All","Male","45","10","5"
"2022","Quintile 3","35 and over","All","Male","65","10","10"
"2023","Quintile 3","35 and over","All","Male","65","20","10"
"2020","Quintile 4","35 and over","All","Male","65","20","15"
"2021","Quintile 4","35 and over","All","Male","40","10","5"
"2022","Quintile 4","35 and over","All","Male","50","10","10"
"2023","Quintile 4","35 and over","All","Male","60","15","10"
"2020","Quintile 5","35 and over","All","Male","55","20","15"
"2021","Quintile 5","35 and over","All","Male","40","10","5"
"2022","Quintile 5","35 and over","All","Male","35","10","5"
"2023","Quintile 5","35 and over","All","Male","50","15","10"
"2020","All","17 and under","All","Female","45","25","15"
"2021","All","17 and under","All","Female","25","10","10"
"2022","All","17 and under","All","Female","25","5","5"
"2023","All","17 and under","All","Female","45","15","10"
"2020","All","18","All","Female","5400","2440","1760"
"2021","All","18","All","Female","4040","2125","1645"
"2022","All","18","All","Female","2775","1395","1070"
"2023","All","18","All","Female","5460","2545","1840"
"2020","All","19","All","Female","1365","660","485"
"2021","All","19","All","Female","895","455","325"
"2022","All","19","All","Female","545","260","195"
"2023","All","19","All","Female","1270","590","430"
"2020","All","20","All","Female","535","265","220"
"2021","All","20","All","Female","400","145","110"
"2022","All","20","All","Female","220","90","60"
"2023","All","20","All","Female","460","210","150"
"2020","All","21 - 24","All","Female","805","320","230"
"2021","All","21 - 24","All","Female","625","210","170"
"2022","All","21 - 24","All","Female","335","125","85"
"2023","All","21 - 24","All","Female","665","245","170"
"2020","All","25 - 29","All","Female","500","185","130"
"2021","All","25 - 29","All","Female","305","90","65"
"2022","All","25 - 29","All","Female","230","70","55"
"2023","All","25 - 29","All","Female","350","100","65"
"2020","All","30 - 34","All","Female","365","120","95"
"2021","All","30 - 34","All","Female","230","80","55"
"2022","All","30 - 34","All","Female","185","60","40"
"2023","All","30 - 34","All","Female","260","80","50"
"2020","All","35 and over","All","Female","800","290","220"
"2021","All","35 and over","All","Female","590","155","110"
"2022","All","35 and over","All","Female","510","125","85"
"2023","All","35 and over","All","Female","595","185","135"
"2020","All","17 and under","All","Male","20","10","5"
"2021","All","17 and under","All","Male","20","5","5"
"2022","All","17 and under","All","Male","25","10","5"
"2023","All","17 and under","All","Male","35","15","10"
"2020","All","18","All","Male","4865","2090","1435"
"2021","All","18","All","Male","3170","1760","1275"
"2022","All","18","All","Male","2905","1555","1155"
"2023","All","18","All","Male","4505","2195","1520"
"2020","All","19","All","Male","1145","540","375"
"2021","All","19","All","Male","735","400","275"
"2022","All","19","All","Male","575","315","235"
"2023","All","19","All","Male","1105","520","335"
"2020","All","20","All","Male","405","225","170"
"2021","All","20","All","Male","285","130","90"
"2022","All","20","All","Male","230","130","105"
"2023","All","20","All","Male","365","175","125"
"2020","All","21 - 24","All","Male","555","300","210"
"2021","All","21 - 24","All","Male","380","150","100"
"2022","All","21 - 24","All","Male","300","135","100"
"2023","All","21 - 24","All","Male","505","230","150"
"2020","All","25 - 29","All","Male","245","90","65"
"2021","All","25 - 29","All","Male","155","60","40"
"2022","All","25 - 29","All","Male","120","50","40"
"2023","All","25 - 29","All","Male","185","70","45"
"2020","All","30 - 34","All","Male","160","60","45"
"2021","All","30 - 34","All","Male","90","20","15"
"2022","All","30 - 34","All","Male","75","25","20"
"2023","All","30 - 34","All","Male","110","40","20"
"2020","All","35 and over","All","Male","325","120","90"
"2021","All","35 and over","All","Male","215","55","35"
"2022","All","35 and over","All","Male","255","50","35"
"2023","All","35 and over","All","Male","285","75","50"
"2020","Unknown","All","All","Female","10","5","5"
"2021","Unknown","All","All","Female","5","5","5"
"2022","Unknown","All","All","Female","5","0","0"
"2023","Unknown","All","All","Female","5","5","0"
"2020","Quintile 1","All","All","Female","1285","590","445"
"2021","Quintile 1","All","All","Female","1010","430","325"
"2022","Quintile 1","All","All","Female","650","270","195"
"2023","Quintile 1","All","All","Female","1350","560","405"
"2020","Quintile 2","All","All","Female","1555","715","525"
"2021","Quintile 2","All","All","Female","1120","490","365"
"2022","Quintile 2","All","All","Female","830","355","260"
"2023","Quintile 2","All","All","Female","1545","710","515"
"2020","Quintile 3","All","All","Female","1895","845","630"
"2021","Quintile 3","All","All","Female","1485","715","545"
"2022","Quintile 3","All","All","Female","970","440","330"
"2023","Quintile 3","All","All","Female","1850","810","565"
"2020","Quintile 4","All","All","Female","2380","1025","755"
"2021","Quintile 4","All","All","Female","1690","785","595"
"2022","Quintile 4","All","All","Female","1140","490","375"
"2023","Quintile 4","All","All","Female","2160","925","660"
"2020","Quintile 5","All","All","Female","2695","1115","795"
"2021","Quintile 5","All","All","Female","1800","850","650"
"2022","Quintile 5","All","All","Female","1230","575","435"
"2023","Quintile 5","All","All","Female","2200","965","705"
"2020","Unknown","All","All","Male","5","5","5"
"2021","Unknown","All","All","Male","10","5","0"
"2023","Unknown","All","All","Male","5","0","0"
"2020","Quintile 1","All","All","Male","735","335","250"
"2021","Quintile 1","All","All","Male","645","320","235"
"2022","Quintile 1","All","All","Male","525","275","190"
"2023","Quintile 1","All","All","Male","880","370","255"
"2020","Quintile 2","All","All","Male","1065","515","365"
"2021","Quintile 2","All","All","Male","760","410","285"
"2022","Quintile 2","All","All","Male","660","345","265"
"2023","Quintile 2","All","All","Male","1070","495","335"
"2020","Quintile 3","All","All","Male","1420","660","465"
"2021","Quintile 3","All","All","Male","950","475","330"
"2022","Quintile 3","All","All","Male","890","425","325"
"2023","Quintile 3","All","All","Male","1385","655","445"
"2020","Quintile 4","All","All","Male","1790","800","550"
"2021","Quintile 4","All","All","Male","1170","590","430"
"2022","Quintile 4","All","All","Male","1065","565","425"
"2023","Quintile 4","All","All","Male","1720","820","560"
"2020","Quintile 5","All","All","Male","2695","1125","760"
"2021","Quintile 5","All","All","Male","1515","775","550"
"2022","Quintile 5","All","All","Male","1340","665","495"
"2023","Quintile 5","All","All","Male","2035","970","655"
"2020","All","All","All","Female","9820","4300","3150"
"2021","All","All","All","Female","7110","3275","2490"
"2022","All","All","All","Female","4825","2130","1600"
"2023","All","All","All","Female","9110","3975","2855"
"2020","All","All","All","Male","7715","3440","2390"
"2021","All","All","All","Male","5050","2575","1835"
"2022","All","All","All","Male","4480","2270","1695"
"2023","All","All","All","Male","7090","3310","2255"
"2022","Quintile 1","17 and under","England","All","5","0","0"
"2020","Quintile 1","17 and under","Scotland","All","5","0","0"
"2022","Quintile 1","17 and under","Scotland","All","5","0","0"
"2020","Quintile 2","17 and under","England","All","5","0","0"
"2021","Quintile 2","17 and under","England","All","5","0","0"
"2022","Quintile 2","17 and under","England","All","5","0","0"
"2023","Quintile 2","17 and under","England","All","10","5","5"
"2021","Quintile 2","17 and under","Scotland","All","5","0","0"
"2022","Quintile 2","17 and under","Scotland","All","5","0","0"
"2023","Quintile 2","17 and under","Scotland","All","10","5","5"
"2020","Quintile 3","17 and under","England","All","5","0","0"
"2021","Quintile 3","17 and under","England","All","5","0","0"
"2022","Quintile 3","17 and under","England","All","5","0","0"
"2023","Quintile 3","17 and under","England","All","5","0","0"
"2020","Quintile 3","17 and under","Scotland","All","5","0","0"
"2021","Quintile 3","17 and under","Scotland","All","10","5","5"
"2022","Quintile 3","17 and under","Scotland","All","5","0","0"
"2023","Quintile 3","17 and under","Scotland","All","10","0","0"
"2020","Quintile 4","17 and under","England","All","10","5","5"
"2021","Quintile 4","17 and under","England","All","5","0","0"
"2022","Quintile 4","17 and under","England","All","5","0","0"
"2023","Quintile 4","17 and under","England","All","10","0","0"
"2020","Quintile 4","17 and under","Scotland","All","10","5","5"
"2021","Quintile 4","17 and under","Scotland","All","5","0","0"
"2022","Quintile 4","17 and under","Scotland","All","5","5","0"
"2023","Quintile 4","17 and under","Scotland","All","10","5","5"
"2020","Quintile 5","17 and under","England","All","15","10","5"
"2021","Quintile 5","17 and under","England","All","5","0","0"
"2022","Quintile 5","17 and under","England","All","10","0","0"
"2023","Quintile 5","17 and under","England","All","10","5","0"
"2020","Quintile 5","17 and under","Scotland","All","5","5","0"
"2021","Quintile 5","17 and under","Scotland","All","5","5","0"
"2022","Quintile 5","17 and under","Scotland","All","5","0","0"
"2023","Quintile 5","17 and under","Scotland","All","10","5","5"
"2020","Unknown","18","England","All","5","0","0"
"2021","Unknown","18","England","All","5","5","5"
"2023","Unknown","18","England","All","5","5","0"
"2020","Quintile 1","18","Northern Ireland","All","20","5","5"
"2021","Quintile 1","18","Northern Ireland","All","30","15","10"
"2022","Quintile 1","18","Northern Ireland","All","25","15","10"
"2023","Quintile 1","18","Northern Ireland","All","20","5","5"
"2020","Quintile 1","18","England","All","790","395","290"
"2021","Quintile 1","18","England","All","730","405","310"
"2022","Quintile 1","18","England","All","530","280","190"
"2023","Quintile 1","18","England","All","1105","515","375"
"2020","Quintile 1","18","Scotland","All","35","20","10"
"2021","Quintile 1","18","Scotland","All","20","10","10"
"2022","Quintile 1","18","Scotland","All","20","5","5"
"2023","Quintile 1","18","Scotland","All","55","15","15"
"2020","Quintile 1","18","Wales","All","50","25","20"
"2021","Quintile 1","18","Wales","All","25","15","10"
"2022","Quintile 1","18","Wales","All","30","20","15"
"2023","Quintile 1","18","Wales","All","55","25","20"
"2020","Quintile 2","18","Northern Ireland","All","35","15","15"
"2021","Quintile 2","18","Northern Ireland","All","20","10","5"
"2022","Quintile 2","18","Northern Ireland","All","15","10","10"
"2023","Quintile 2","18","Northern Ireland","All","10","0","0"
"2020","Quintile 2","18","England","All","1220","590","410"
"2021","Quintile 2","18","England","All","925","490","360"
"2022","Quintile 2","18","England","All","745","405","305"
"2023","Quintile 2","18","England","All","1345","660","470"
"2020","Quintile 2","18","Scotland","All","55","20","15"
"2021","Quintile 2","18","Scotland","All","45","20","15"
"2022","Quintile 2","18","Scotland","All","25","10","5"
"2023","Quintile 2","18","Scotland","All","70","25","20"
"2020","Quintile 2","18","Wales","All","50","30","20"
"2021","Quintile 2","18","Wales","All","45","25","20"
"2022","Quintile 2","18","Wales","All","40","20","15"
"2023","Quintile 2","18","Wales","All","55","35","20"
"2020","Quintile 3","18","Northern Ireland","All","50","20","20"
"2021","Quintile 3","18","Northern Ireland","All","40","20","15"
"2022","Quintile 3","18","Northern Ireland","All","25","20","10"
"2023","Quintile 3","18","Northern Ireland","All","25","5","5"
"2020","Quintile 3","18","England","All","1680","760","550"
"2021","Quintile 3","18","England","All","1275","710","540"
"2022","Quintile 3","18","England","All","1010","510","395"
"2023","Quintile 3","18","England","All","1735","845","590"
"2020","Quintile 3","18","Scotland","All","85","45","35"
"2021","Quintile 3","18","Scotland","All","45","20","15"
"2022","Quintile 3","18","Scotland","All","55","20","15"
"2023","Quintile 3","18","Scotland","All","90","35","25"
"2020","Quintile 3","18","Wales","All","50","30","20"
"2021","Quintile 3","18","Wales","All","45","30","20"
"2022","Quintile 3","18","Wales","All","30","20","20"
"2023","Quintile 3","18","Wales","All","60","45","35"
"2020","Quintile 4","18","Northern Ireland","All","55","25","20"
"2021","Quintile 4","18","Northern Ireland","All","55","30","25"
"2022","Quintile 4","18","Northern Ireland","All","30","20","20"
"2023","Quintile 4","18","Northern Ireland","All","25","10","5"
"2020","Quintile 4","18","England","All","2270","975","695"
"2021","Quintile 4","18","England","All","1580","860","650"
"2022","Quintile 4","18","England","All","1265","665","510"
"2023","Quintile 4","18","England","All","2300","1110","775"
"2020","Quintile 4","18","Scotland","All","95","40","30"
"2021","Quintile 4","18","Scotland","All","70","30","25"
"2022","Quintile 4","18","Scotland","All","45","20","15"
"2023","Quintile 4","18","Scotland","All","110","45","35"
"2020","Quintile 4","18","Wales","All","55","35","25"
"2021","Quintile 4","18","Wales","All","35","20","15"
"2022","Quintile 4","18","Wales","All","35","20","15"
"2023","Quintile 4","18","Wales","All","55","35","25"
"2020","Quintile 5","18","Northern Ireland","All","85","45","35"
"2021","Quintile 5","18","Northern Ireland","All","65","35","30"
"2022","Quintile 5","18","Northern Ireland","All","65","40","30"
"2023","Quintile 5","18","Northern Ireland","All","40","10","5"
"2020","Quintile 5","18","England","All","3415","1375","920"
"2021","Quintile 5","18","England","All","2020","1075","795"
"2022","Quintile 5","18","England","All","1595","800","595"
"2023","Quintile 5","18","England","All","2605","1220","845"
"2020","Quintile 5","18","Scotland","All","125","65","50"
"2021","Quintile 5","18","Scotland","All","85","35","30"
"2022","Quintile 5","18","Scotland","All","65","30","20"
"2023","Quintile 5","18","Scotland","All","155","75","65"
"2020","Quintile 5","18","Wales","All","45","20","15"
"2021","Quintile 5","18","Wales","All","40","30","20"
"2022","Quintile 5","18","Wales","All","30","20","10"
"2023","Quintile 5","18","Wales","All","50","25","20"
"2020","Unknown","19","England","All","5","0","0"
"2021","Unknown","19","England","All","5","0","0"
"2020","Quintile 1","19","Northern Ireland","All","15","10","10"
"2021","Quintile 1","19","Northern Ireland","All","10","0","0"
"2023","Quintile 1","19","Northern Ireland","All","5","0","0"
"2020","Quintile 1","19","England","All","245","125","100"
"2021","Quintile 1","19","England","All","170","85","65"
"2022","Quintile 1","19","England","All","135","70","55"
"2023","Quintile 1","19","England","All","280","110","75"
"2020","Quintile 1","19","Scotland","All","15","5","5"
"2021","Quintile 1","19","Scotland","All","5","0","0"
"2022","Quintile 1","19","Scotland","All","5","0","0"
"2023","Quintile 1","19","Scotland","All","10","0","0"
"2020","Quintile 1","19","Wales","All","20","10","5"
"2021","Quintile 1","19","Wales","All","20","10","10"
"2022","Quintile 1","19","Wales","All","10","5","5"
"2023","Quintile 1","19","Wales","All","15","5","5"
"2020","Quintile 2","19","Northern Ireland","All","5","5","0"
"2021","Quintile 2","19","Northern Ireland","All","5","5","5"
"2020","Quintile 2","19","England","All","305","155","115"
"2021","Quintile 2","19","England","All","205","115","80"
"2022","Quintile 2","19","England","All","145","60","45"
"2023","Quintile 2","19","England","All","330","165","115"
"2020","Quintile 2","19","Scotland","All","15","5","5"
"2021","Quintile 2","19","Scotland","All","20","5","5"
"2022","Quintile 2","19","Scotland","All","10","5","5"
"2023","Quintile 2","19","Scotland","All","20","15","15"
"2020","Quintile 2","19","Wales","All","30","10","5"
"2021","Quintile 2","19","Wales","All","15","10","10"
"2022","Quintile 2","19","Wales","All","10","5","5"
"2023","Quintile 2","19","Wales","All","25","15","10"
"2020","Quintile 3","19","Northern Ireland","All","15","5","5"
"2021","Quintile 3","19","Northern Ireland","All","10","5","0"
"2023","Quintile 3","19","Northern Ireland","All","5","0","0"
"2020","Quintile 3","19","England","All","430","210","140"
"2021","Quintile 3","19","England","All","305","155","105"
"2022","Quintile 3","19","England","All","210","110","75"
"2023","Quintile 3","19","England","All","470","235","160"
"2020","Quintile 3","19","Scotland","All","15","5","5"
"2021","Quintile 3","19","Scotland","All","15","5","5"
"2022","Quintile 3","19","Scotland","All","10","5","5"
"2023","Quintile 3","19","Scotland","All","30","10","5"
"2020","Quintile 3","19","Wales","All","20","15","10"
"2021","Quintile 3","19","Wales","All","15","10","5"
"2022","Quintile 3","19","Wales","All","10","5","5"
"2023","Quintile 3","19","Wales","All","20","10","5"
"2020","Quintile 4","19","Northern Ireland","All","15","5","5"
"2021","Quintile 4","19","Northern Ireland","All","5","5","5"
"2023","Quintile 4","19","Northern Ireland","All","5","0","0"
"2020","Quintile 4","19","England","All","565","285","190"
"2021","Quintile 4","19","England","All","395","205","145"
"2022","Quintile 4","19","England","All","250","135","100"
"2023","Quintile 4","19","England","All","500","225","155"
"2020","Quintile 4","19","Scotland","All","30","10","10"
"2021","Quintile 4","19","Scotland","All","20","10","5"
"2022","Quintile 4","19","Scotland","All","10","5","5"
"2023","Quintile 4","19","Scotland","All","25","15","10"
"2020","Quintile 4","19","Wales","All","5","5","5"
"2021","Quintile 4","19","Wales","All","10","5","5"
"2022","Quintile 4","19","Wales","All","10","5","5"
"2023","Quintile 4","19","Wales","All","20","10","10"
"2020","Quintile 5","19","Northern Ireland","All","40","20","15"
"2021","Quintile 5","19","Northern Ireland","All","15","10","10"
"2022","Quintile 5","19","Northern Ireland","All","5","5","5"
"2023","Quintile 5","19","Northern Ireland","All","5","0","0"
"2020","Quintile 5","19","England","All","655","285","205"
"2021","Quintile 5","19","England","All","355","195","130"
"2022","Quintile 5","19","England","All","275","145","105"
"2023","Quintile 5","19","England","All","550","255","170"
"2020","Quintile 5","19","Scotland","All","55","20","15"
"2021","Quintile 5","19","Scotland","All","30","15","10"
"2022","Quintile 5","19","Scotland","All","20","10","5"
"2023","Quintile 5","19","Scotland","All","45","25","20"
"2020","Quintile 5","19","Wales","All","20","10","10"
"2021","Quintile 5","19","Wales","All","10","10","5"
"2023","Quintile 5","19","Wales","All","20","10","5"
"2020","Quintile 1","20","Northern Ireland","All","5","0","0"
"2021","Quintile 1","20","Northern Ireland","All","5","5","5"
"2020","Quintile 1","20","England","All","115","65","55"
"2021","Quintile 1","20","England","All","110","45","35"
"2022","Quintile 1","20","England","All","55","30","20"
"2023","Quintile 1","20","England","All","115","55","35"
"2020","Quintile 1","20","Scotland","All","5","0","0"
"2021","Quintile 1","20","Scotland","All","5","0","0"
"2023","Quintile 1","20","Scotland","All","10","5","0"
"2020","Quintile 1","20","Wales","All","10","5","0"
"2021","Quintile 1","20","Wales","All","5","5","0"
"2023","Quintile 1","20","Wales","All","10","5","5"
"2020","Quintile 2","20","Northern Ireland","All","5","0","0"
"2020","Quintile 2","20","England","All","140","80","65"
"2021","Quintile 2","20","England","All","100","45","35"
"2022","Quintile 2","20","England","All","75","30","20"
"2023","Quintile 2","20","England","All","135","55","45"
"2020","Quintile 2","20","Scotland","All","5","0","0"
"2021","Quintile 2","20","Scotland","All","5","0","0"
"2022","Quintile 2","20","Scotland","All","5","0","0"
"2023","Quintile 2","20","Scotland","All","15","5","5"
"2020","Quintile 2","20","Wales","All","10","0","0"
"2021","Quintile 2","20","Wales","All","10","5","5"
"2022","Quintile 2","20","Wales","All","5","5","5"
"2023","Quintile 2","20","Wales","All","10","5","0"
"2020","Quintile 3","20","Northern Ireland","All","5","5","0"
"2023","Quintile 3","20","Northern Ireland","All","5","0","0"
"2020","Quintile 3","20","England","All","180","100","80"
"2021","Quintile 3","20","England","All","130","55","35"
"2022","Quintile 3","20","England","All","65","30","20"
"2023","Quintile 3","20","England","All","145","60","40"
"2020","Quintile 3","20","Scotland","All","10","0","0"
"2021","Quintile 3","20","Scotland","All","10","0","0"
"2022","Quintile 3","20","Scotland","All","5","5","5"
"2023","Quintile 3","20","Scotland","All","10","5","5"
"2020","Quintile 3","20","Wales","All","10","5","5"
"2021","Quintile 3","20","Wales","All","5","0","0"
"2022","Quintile 3","20","Wales","All","5","5","0"
"2023","Quintile 3","20","Wales","All","5","5","5"
"2020","Quintile 4","20","Northern Ireland","All","5","5","5"
"2023","Quintile 4","20","Northern Ireland","All","5","0","0"
"2020","Quintile 4","20","England","All","200","110","85"
"2021","Quintile 4","20","England","All","120","45","30"
"2022","Quintile 4","20","England","All","95","50","35"
"2023","Quintile 4","20","England","All","165","80","55"
"2020","Quintile 4","20","Scotland","All","10","5","5"
"2021","Quintile 4","20","Scotland","All","10","0","0"
"2022","Quintile 4","20","Scotland","All","5","0","0"
"2023","Quintile 4","20","Scotland","All","15","10","10"
"2020","Quintile 4","20","Wales","All","10","5","5"
"2022","Quintile 4","20","Wales","All","5","0","0"
"2023","Quintile 4","20","Wales","All","5","5","5"
"2020","Quintile 5","20","Northern Ireland","All","15","5","5"
"2022","Quintile 5","20","Northern Ireland","All","5","0","0"
"2020","Quintile 5","20","England","All","190","85","65"
"2021","Quintile 5","20","England","All","145","60","45"
"2022","Quintile 5","20","England","All","105","50","45"
"2023","Quintile 5","20","England","All","165","80","60"
"2020","Quintile 5","20","Scotland","All","15","5","5"
"2021","Quintile 5","20","Scotland","All","10","5","5"
"2022","Quintile 5","20","Scotland","All","10","0","0"
"2023","Quintile 5","20","Scotland","All","15","10","5"
"2021","Quintile 5","20","Wales","All","5","5","5"
"2023","Quintile 5","20","Wales","All","5","0","0"
"2020","Quintile 1","21 - 24","Northern Ireland","All","10","5","0"
"2021","Quintile 1","21 - 24","Northern Ireland","All","5","0","0"
"2023","Quintile 1","21 - 24","Northern Ireland","All","5","0","0"
"2020","Quintile 1","21 - 24","England","All","200","95","65"
"2021","Quintile 1","21 - 24","England","All","160","60","40"
"2022","Quintile 1","21 - 24","England","All","85","35","25"
"2023","Quintile 1","21 - 24","England","All","160","65","40"
"2020","Quintile 1","21 - 24","Scotland","All","15","5","5"
"2021","Quintile 1","21 - 24","Scotland","All","10","0","0"
"2023","Quintile 1","21 - 24","Scotland","All","10","5","0"
"2020","Quintile 1","21 - 24","Wales","All","10","5","5"
"2021","Quintile 1","21 - 24","Wales","All","15","5","5"
"2022","Quintile 1","21 - 24","Wales","All","15","5","0"
"2023","Quintile 1","21 - 24","Wales","All","20","5","5"
"2020","Quintile 2","21 - 24","Northern Ireland","All","5","5","5"
"2021","Quintile 2","21 - 24","Northern Ireland","All","5","0","0"
"2020","Quintile 2","21 - 24","England","All","200","90","65"
"2021","Quintile 2","21 - 24","England","All","135","55","35"
"2022","Quintile 2","21 - 24","England","All","105","50","35"
"2023","Quintile 2","21 - 24","England","All","190","95","65"
"2020","Quintile 2","21 - 24","Scotland","All","20","5","5"
"2021","Quintile 2","21 - 24","Scotland","All","20","10","5"
"2022","Quintile 2","21 - 24","Scotland","All","5","5","5"
"2023","Quintile 2","21 - 24","Scotland","All","15","0","0"
"2020","Quintile 2","21 - 24","Wales","All","20","10","5"
"2021","Quintile 2","21 - 24","Wales","All","15","5","5"
"2022","Quintile 2","21 - 24","Wales","All","10","10","5"
"2023","Quintile 2","21 - 24","Wales","All","15","10","10"
"2020","Quintile 3","21 - 24","Northern Ireland","All","5","0","0"
"2021","Quintile 3","21 - 24","Northern Ireland","All","5","0","0"
"2020","Quintile 3","21 - 24","England","All","230","105","70"
"2021","Quintile 3","21 - 24","England","All","145","65","50"
"2022","Quintile 3","21 - 24","England","All","110","45","35"
"2023","Quintile 3","21 - 24","England","All","225","80","50"
"2020","Quintile 3","21 - 24","Scotland","All","25","10","5"
"2021","Quintile 3","21 - 24","Scotland","All","20","5","5"
"2022","Quintile 3","21 - 24","Scotland","All","10","0","0"
"2023","Quintile 3","21 - 24","Scotland","All","20","5","5"
"2020","Quintile 3","21 - 24","Wales","All","10","5","5"
"2021","Quintile 3","21 - 24","Wales","All","10","5","5"
"2022","Quintile 3","21 - 24","Wales","All","10","5","0"
"2023","Quintile 3","21 - 24","Wales","All","10","5","5"
"2020","Quintile 4","21 - 24","Northern Ireland","All","10","5","5"
"2021","Quintile 4","21 - 24","Northern Ireland","All","5","0","0"
"2020","Quintile 4","21 - 24","England","All","275","125","90"
"2021","Quintile 4","21 - 24","England","All","195","60","50"
"2022","Quintile 4","21 - 24","England","All","130","45","30"
"2023","Quintile 4","21 - 24","England","All","225","80","55"
"2020","Quintile 4","21 - 24","Scotland","All","35","10","10"
"2021","Quintile 4","21 - 24","Scotland","All","25","10","10"
"2022","Quintile 4","21 - 24","Scotland","All","5","5","0"
"2023","Quintile 4","21 - 24","Scotland","All","15","10","5"
"2020","Quintile 4","21 - 24","Wales","All","10","5","5"
"2021","Quintile 4","21 - 24","Wales","All","10","5","5"
"2023","Quintile 4","21 - 24","Wales","All","5","5","0"
"2020","Quintile 5","21 - 24","Northern Ireland","All","20","15","10"
"2021","Quintile 5","21 - 24","Northern Ireland","All","5","0","0"
"2020","Quintile 5","21 - 24","England","All","205","105","75"
"2021","Quintile 5","21 - 24","England","All","180","55","45"
"2022","Quintile 5","21 - 24","England","All","115","45","35"
"2023","Quintile 5","21 - 24","England","All","215","90","60"
"2020","Quintile 5","21 - 24","Scotland","All","40","15","10"
"2021","Quintile 5","21 - 24","Scotland","All","30","10","5"
"2022","Quintile 5","21 - 24","Scotland","All","15","10","5"
"2023","Quintile 5","21 - 24","Scotland","All","35","10","10"
"2020","Quintile 5","21 - 24","Wales","All","10","5","5"
"2021","Quintile 5","21 - 24","Wales","All","5","0","0"
