"Year","POLAR4 Quintile","Age group","Domicile","Gender","Registered for Clearing Plus","Placed at provider of interest through Clearing Plus","Placed on course of interest through Clearing Plus"
"2022","Quintile 5","21 - 24","Scotland","Female","5","5","0"
"2023","Quintile 5","21 - 24","Scotland","Female","25","5","5"
"2020","Quintile 5","21 - 24","Wales","Female","5","0","0"
"2021","Quintile 5","21 - 24","Wales","Female","5","0","0"
"2023","Quintile 5","21 - 24","Wales","Female","5","0","0"
"2020","Quintile 1","25 - 29","England","Female","85","35","25"
"2021","Quintile 1","25 - 29","England","Female","50","15","15"
"2022","Quintile 1","25 - 29","England","Female","35","10","5"
"2023","Quintile 1","25 - 29","England","Female","60","20","15"
"2020","Quintile 1","25 - 29","Scotland","Female","5","0","0"
"2023","Quintile 1","25 - 29","Scotland","Female","5","0","0"
"2020","Quintile 1","25 - 29","Wales","Female","5","5","5"
"2021","Quintile 1","25 - 29","Wales","Female","10","5","0"
"2022","Quintile 1","25 - 29","Wales","Female","5","0","0"
"2023","Quintile 1","25 - 29","Wales","Female","5","0","0"
"2020","Quintile 2","25 - 29","Northern Ireland","Female","5","0","0"
"2020","Quintile 2","25 - 29","England","Female","75","30","20"
"2021","Quintile 2","25 - 29","England","Female","55","15","15"
"2022","Quintile 2","25 - 29","England","Female","50","15","10"
"2023","Quintile 2","25 - 29","England","Female","45","15","10"
"2020","Quintile 2","25 - 29","Scotland","Female","10","0","0"
"2021","Quintile 2","25 - 29","Scotland","Female","5","0","0"
"2022","Quintile 2","25 - 29","Scotland","Female","5","0","0"
"2023","Quintile 2","25 - 29","Scotland","Female","5","0","0"
"2020","Quintile 2","25 - 29","Wales","Female","10","5","5"
"2021","Quintile 2","25 - 29","Wales","Female","10","5","5"
"2022","Quintile 2","25 - 29","Wales","Female","5","0","0"
"2023","Quintile 2","25 - 29","Wales","Female","5","0","0"
"2020","Quintile 3","25 - 29","Northern Ireland","Female","5","0","0"
"2020","Quintile 3","25 - 29","England","Female","75","30","20"
"2021","Quintile 3","25 - 29","England","Female","50","15","10"
"2022","Quintile 3","25 - 29","England","Female","25","5","5"
"2023","Quintile 3","25 - 29","England","Female","65","15","10"
"2020","Quintile 3","25 - 29","Scotland","Female","15","5","5"
"2021","Quintile 3","25 - 29","Scotland","Female","5","0","0"
"2022","Quintile 3","25 - 29","Scotland","Female","5","0","0"
"2023","Quintile 3","25 - 29","Scotland","Female","5","0","0"
"2020","Quintile 3","25 - 29","Wales","Female","10","5","0"
"2021","Quintile 3","25 - 29","Wales","Female","5","0","0"
"2022","Quintile 3","25 - 29","Wales","Female","10","5","5"
"2023","Quintile 3","25 - 29","Wales","Female","5","0","0"
