"Year","Subject group HECoS","Detailed subject group HECoS","POLAR4 Quintile","Main scheme applicant","Main scheme application","Accepted applicants"
"2019","(CAH04) psychology","(CAH04-01-02) applied psychology","Unknown","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH04) psychology","(CAH04-01-02) applied psychology","Unknown","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH04) psychology","(CAH04-01-02) applied psychology","Unknown","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Unknown","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Unknown","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Unknown","Not main scheme applicant","Not main scheme application","20"
"2022","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Unknown","Not main scheme applicant","Not main scheme application","35"
"2023","(CAH04) psychology","(CAH04-01-01) psychology (non-specific)","Unknown","Not main scheme applicant","Not main scheme application","25"
"2019","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Unknown","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH09) mathematical sciences","(CAH09-01-01) mathematics","Unknown","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH22) education and teaching","(CAH22-01-01) education","Unknown","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH22) education and teaching","(CAH22-01-01) education","Unknown","Not main scheme applicant","Not main scheme application","10"
"2021","(CAH22) education and teaching","(CAH22-01-01) education","Unknown","Not main scheme applicant","Not main scheme application","15"
"2022","(CAH22) education and teaching","(CAH22-01-01) education","Unknown","Not main scheme applicant","Not main scheme application","20"
"2023","(CAH22) education and teaching","(CAH22-01-01) education","Unknown","Not main scheme applicant","Not main scheme application","105"
"2022","(CAH22) education and teaching","(CAH22-01-02) teacher training","Unknown","Not main scheme applicant","Not main scheme application","5"
"2023","(CAH22) education and teaching","(CAH22-01-02) teacher training","Unknown","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH06) agriculture, food and related studies","(CAH06-01-03) agriculture","Unknown","Not main scheme applicant","Not main scheme application","5"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","Unknown","Not main scheme applicant","Not main scheme application","5"
"2022","(CAH06) agriculture, food and related studies","(CAH06-01-01) animal science","Unknown","Not main scheme applicant","Not main scheme application","5"
"2021","(CAH06) agriculture, food and related studies","(CAH06-01-08) food and beverage production","Unknown","Not main scheme applicant","Not main scheme application","25"
"2020","(CAH06) agriculture, food and related studies","(CAH06-01-07) food sciences","Unknown","Not main scheme applicant","Not main scheme application","5"
"2019","(CAH16) law","(CAH16-01-01) law","Unknown","Not main scheme applicant","Not main scheme application","10"
"2020","(CAH16) law","(CAH16-01-01) law","Unknown","Not main scheme applicant","Not main scheme application","15"
"2021","(CAH16) law","(CAH16-01-01) law","Unknown","Not main scheme applicant","Not main scheme application","10"
"2022","(CAH16) law","(CAH16-01-01) law","Unknown","Not main scheme applicant","Not main scheme application","35"
"2023","(CAH16) law","(CAH16-01-01) law","Unknown","Not main scheme applicant","Not main scheme application","40"
"2019","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Quintile 1","Not main scheme applicant","Not main scheme application","270"
"2020","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Quintile 1","Not main scheme applicant","Not main scheme application","300"
"2021","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Quintile 1","Not main scheme applicant","Not main scheme application","210"
"2022","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Quintile 1","Not main scheme applicant","Not main scheme application","220"
"2023","(CAH25) design, and creative and performing arts","(CAH25-01-03) design studies","Quintile 1","Not main scheme applicant","Not main scheme application","225"
