"Year","POLAR4 Quintile","Age group","Domicile","Gender","Self-released","Applied after self-releasing","Placed after self-releasing"
"2023","Quintile 3","20","Scotland","Female","5","5","5"
"2019","Quintile 3","20","Wales","Female","5","5","5"
"2020","Quintile 3","20","Wales","Female","5","5","5"
"2021","Quintile 3","20","Wales","Female","5","5","5"
"2022","Quintile 3","20","Wales","Female","5","5","5"
"2023","Quintile 3","20","Wales","Female","5","5","5"
"2019","Quintile 4","20","Northern Ireland","Female","5","5","5"
"2020","Quintile 4","20","Northern Ireland","Female","10","5","5"
"2021","Quintile 4","20","Northern Ireland","Female","10","5","5"
"2023","Quintile 4","20","Northern Ireland","Female","5","5","5"
"2019","Quintile 4","20","England","Female","125","100","100"
"2020","Quintile 4","20","England","Female","150","120","120"
"2021","Quintile 4","20","England","Female","115","80","80"
"2022","Quintile 4","20","England","Female","120","75","70"
"2023","Quintile 4","20","England","Female","140","105","100"
"2019","Quintile 4","20","Scotland","Female","5","0","0"
"2020","Quintile 4","20","Scotland","Female","5","5","5"
"2021","Quintile 4","20","Scotland","Female","10","5","5"
"2022","Quintile 4","20","Scotland","Female","10","5","5"
"2023","Quintile 4","20","Scotland","Female","10","0","0"
"2019","Quintile 4","20","Wales","Female","5","5","5"
"2020","Quintile 4","20","Wales","Female","5","5","5"
"2021","Quintile 4","20","Wales","Female","5","0","0"
"2022","Quintile 4","20","Wales","Female","5","5","5"
"2019","Quintile 5","20","Northern Ireland","Female","5","0","0"
"2020","Quintile 5","20","Northern Ireland","Female","10","5","5"
"2021","Quintile 5","20","Northern Ireland","Female","5","5","5"
"2022","Quintile 5","20","Northern Ireland","Female","5","5","5"
"2023","Quintile 5","20","Northern Ireland","Female","5","5","5"
"2019","Quintile 5","20","England","Female","85","60","60"
"2020","Quintile 5","20","England","Female","140","105","105"
"2021","Quintile 5","20","England","Female","115","75","75"
"2022","Quintile 5","20","England","Female","105","75","70"
"2023","Quintile 5","20","England","Female","135","105","105"
"2019","Quintile 5","20","Scotland","Female","5","5","5"
"2020","Quintile 5","20","Scotland","Female","10","5","5"
"2021","Quintile 5","20","Scotland","Female","5","0","0"
"2022","Quintile 5","20","Scotland","Female","10","5","5"
"2023","Quintile 5","20","Scotland","Female","20","15","15"
"2019","Quintile 5","20","Wales","Female","5","5","5"
"2020","Quintile 5","20","Wales","Female","5","0","0"
"2022","Quintile 5","20","Wales","Female","5","5","5"
"2019","Unknown","21 - 24","England","Female","5","5","0"
"2021","Quintile 1","21 - 24","Northern Ireland","Female","10","5","5"
"2022","Quintile 1","21 - 24","Northern Ireland","Female","5","5","5"
"2023","Quintile 1","21 - 24","Northern Ireland","Female","5","0","0"
"2019","Quintile 1","21 - 24","England","Female","60","40","40"
"2020","Quintile 1","21 - 24","England","Female","85","50","50"
"2021","Quintile 1","21 - 24","England","Female","110","60","55"
"2022","Quintile 1","21 - 24","England","Female","85","40","40"
"2023","Quintile 1","21 - 24","England","Female","80","40","35"
