"Year","Domicile UK International","Domicile","Domicile named country","Age group","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2022","UK","England","England","30 - 34","Male","Not main scheme applicant","Not main scheme application","40","30","0.8160000000000001","0"
"2023","UK","England","England","30 - 34","Male","Not main scheme applicant","Not main scheme application","60","40","0.644","0"
"2019","UK","Scotland","Scotland","30 - 34","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","UK","Scotland","Scotland","30 - 34","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","UK","Scotland","Scotland","30 - 34","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","International","Not EU","Nigeria","30 - 34","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2021","International","Not EU","Nigeria","30 - 34","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2019","UK","England","England","35 and over","Male","Not main scheme applicant","Not main scheme application","160","130","0.8230000000000001","0"
"2020","UK","England","England","35 and over","Male","Not main scheme applicant","Not main scheme application","215","160","0.75","0"
"2021","UK","England","England","35 and over","Male","Not main scheme applicant","Not main scheme application","120","85","0.711","0"
"2022","UK","England","England","35 and over","Male","Not main scheme applicant","Not main scheme application","145","100","0.667","0"
"2023","UK","England","England","35 and over","Male","Not main scheme applicant","Not main scheme application","250","180","0.713","0"
"2019","UK","Scotland","Scotland","35 and over","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","UK","Scotland","Scotland","35 and over","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","UK","Scotland","Scotland","35 and over","Male","Not main scheme applicant","Not main scheme application","15","15","0.765","0"
"2023","UK","Scotland","Scotland","35 and over","Male","Not main scheme applicant","Not main scheme application","15","5"," ","0"
"2019","UK","Wales","Wales","35 and over","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","UK","Wales","Wales","35 and over","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","UK","Wales","Wales","35 and over","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","International","Not EU","Nigeria","35 and over","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","International","Not EU","Nigeria","35 and over","Male","Not main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","International","Not EU","Not Known","35 and over","Male","Not main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","UK","England","England","17 and under","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","UK","Scotland","Scotland","17 and under","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","UK","Scotland","Scotland","17 and under","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","UK","Scotland","Scotland","17 and under","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","International","EU (excluding UK)","Ireland","17 and under","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2020","International","EU (excluding UK)","Ireland","17 and under","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","International","EU (excluding UK)","Ireland","17 and under","Female","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","International","EU (excluding UK)","Ireland","17 and under","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","International","EU (excluding UK)","Ireland","17 and under","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","International","Not EU","Nigeria","17 and under","Female","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2023","International","Not EU","Nigeria","17 and under","Female","Main scheme applicant","Not main scheme application","10","0"," ","0"
"2019","UK","England","England","18","Female","Main scheme applicant","Not main scheme application","770","645","0.838","0"
"2020","UK","England","England","18","Female","Main scheme applicant","Not main scheme application","1050","935","0.887","0"
"2021","UK","England","England","18","Female","Main scheme applicant","Not main scheme application","1030","820","0.796","0"
"2022","UK","England","England","18","Female","Main scheme applicant","Not main scheme application","1185","935","0.787","0"
"2023","UK","England","England","18","Female","Main scheme applicant","Not main scheme application","1100","955","0.869","0"
"2019","UK","Northern Ireland","Northern Ireland","18","Female","Main scheme applicant","Not main scheme application","55","40","0.764","0"
"2020","UK","Northern Ireland","Northern Ireland","18","Female","Main scheme applicant","Not main scheme application","80","65","0.8270000000000001","0"
"2021","UK","Northern Ireland","Northern Ireland","18","Female","Main scheme applicant","Not main scheme application","90","70","0.747","0"
"2022","UK","Northern Ireland","Northern Ireland","18","Female","Main scheme applicant","Not main scheme application","115","90","0.805","0"
"2023","UK","Northern Ireland","Northern Ireland","18","Female","Main scheme applicant","Not main scheme application","150","115","0.758","0"
"2019","UK","Scotland","Scotland","18","Female","Main scheme applicant","Not main scheme application","95","45","0.495","0"
"2020","UK","Scotland","Scotland","18","Female","Main scheme applicant","Not main scheme application","85","65","0.776","0"
"2021","UK","Scotland","Scotland","18","Female","Main scheme applicant","Not main scheme application","55","30","0.561","0"
"2022","UK","Scotland","Scotland","18","Female","Main scheme applicant","Not main scheme application","95","60","0.615","0"
"2023","UK","Scotland","Scotland","18","Female","Main scheme applicant","Not main scheme application","65","50","0.785","0"
"2019","UK","Wales","Wales","18","Female","Main scheme applicant","Not main scheme application","40","30","0.8","0"
