"Year","POLAR4 Quintile","Age group","Domicile","Gender","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2015","Quintile 4","17 and under","All","All","Main scheme applicant","Not main scheme application","25","20","0.8","0"
"2016","Quintile 4","17 and under","All","All","Main scheme applicant","Not main scheme application","25","20","0.792","0"
"2017","Quintile 4","17 and under","All","All","Main scheme applicant","Not main scheme application","35","30","0.833","0"
"2018","Quintile 4","17 and under","All","All","Main scheme applicant","Not main scheme application","35","30","0.838","0"
"2019","Quintile 4","17 and under","All","All","Main scheme applicant","Not main scheme application","30","20","0.7000000000000001","0"
"2020","Quintile 4","17 and under","All","All","Main scheme applicant","Not main scheme application","45","35","0.783","0"
"2021","Quintile 4","17 and under","All","All","Main scheme applicant","Not main scheme application","25","20","0.8150000000000001","0"
"2022","Quintile 4","17 and under","All","All","Main scheme applicant","Not main scheme application","55","35","0.625","0"
"2023","Quintile 4","17 and under","All","All","Main scheme applicant","Not main scheme application","45","35","0.745","0"
"2006","Quintile 5","17 and under","All","All","Main scheme applicant","Not main scheme application","75","75","0.9480000000000001","0"
"2007","Quintile 5","17 and under","All","All","Main scheme applicant","Not main scheme application","70","65","0.9440000000000001","0"
"2008","Quintile 5","17 and under","All","All","Main scheme applicant","Not main scheme application","85","80","0.9520000000000001","0"
"2009","Quintile 5","17 and under","All","All","Main scheme applicant","Not main scheme application","95","80","0.86","0"
"2010","Quintile 5","17 and under","All","All","Main scheme applicant","Not main scheme application","55","45","0.8250000000000001","0"
"2011","Quintile 5","17 and under","All","All","Main scheme applicant","Not main scheme application","75","55","0.6970000000000001","0"
"2012","Quintile 5","17 and under","All","All","Main scheme applicant","Not main scheme application","60","55","0.898","0"
"2013","Quintile 5","17 and under","All","All","Main scheme applicant","Not main scheme application","70","55","0.8","0"
"2014","Quintile 5","17 and under","All","All","Main scheme applicant","Not main scheme application","60","40","0.7000000000000001","0"
"2015","Quintile 5","17 and under","All","All","Main scheme applicant","Not main scheme application","75","65","0.844","0"
"2016","Quintile 5","17 and under","All","All","Main scheme applicant","Not main scheme application","55","45","0.782","0"
"2017","Quintile 5","17 and under","All","All","Main scheme applicant","Not main scheme application","65","50","0.746","0"
"2018","Quintile 5","17 and under","All","All","Main scheme applicant","Not main scheme application","80","55","0.6960000000000001","0"
"2019","Quintile 5","17 and under","All","All","Main scheme applicant","Not main scheme application","70","60","0.8190000000000001","0"
"2020","Quintile 5","17 and under","All","All","Main scheme applicant","Not main scheme application","100","90","0.929","0"
"2021","Quintile 5","17 and under","All","All","Main scheme applicant","Not main scheme application","50","35","0.708","0"
"2022","Quintile 5","17 and under","All","All","Main scheme applicant","Not main scheme application","80","55","0.718","0"
"2023","Quintile 5","17 and under","All","All","Main scheme applicant","Not main scheme application","75","50","0.623","0"
"2006","Unknown","18","All","All","Main scheme applicant","Not main scheme application","120","115","0.9430000000000001","0"
"2007","Unknown","18","All","All","Main scheme applicant","Not main scheme application","95","90","0.926","0"
"2008","Unknown","18","All","All","Main scheme applicant","Not main scheme application","310","295","0.9420000000000001","0"
"2009","Unknown","18","All","All","Main scheme applicant","Not main scheme application","70","60","0.912","0"
"2010","Unknown","18","All","All","Main scheme applicant","Not main scheme application","55","45","0.8210000000000001","0"
"2011","Unknown","18","All","All","Main scheme applicant","Not main scheme application","50","45","0.843","0"
"2012","Unknown","18","All","All","Main scheme applicant","Not main scheme application","55","45","0.849","0"
"2013","Unknown","18","All","All","Main scheme applicant","Not main scheme application","45","40","0.911","0"
"2014","Unknown","18","All","All","Main scheme applicant","Not main scheme application","40","35","0.878","0"
"2015","Unknown","18","All","All","Main scheme applicant","Not main scheme application","40","40","0.9500000000000001","0"
"2016","Unknown","18","All","All","Main scheme applicant","Not main scheme application","35","35","0.9440000000000001","0"
"2017","Unknown","18","All","All","Main scheme applicant","Not main scheme application","35","30","0.857","0"
"2018","Unknown","18","All","All","Main scheme applicant","Not main scheme application","40","40","0.905","0"
"2019","Unknown","18","All","All","Main scheme applicant","Not main scheme application","35","35","0.917","0"
"2020","Unknown","18","All","All","Main scheme applicant","Not main scheme application","30","25","0.9","0"
"2021","Unknown","18","All","All","Main scheme applicant","Not main scheme application","35","30","0.9410000000000001","0"
"2022","Unknown","18","All","All","Main scheme applicant","Not main scheme application","15","10","0.923","0"
"2023","Unknown","18","All","All","Main scheme applicant","Not main scheme application","15","15","0.8130000000000001","0"
"2006","Quintile 1","18","All","All","Main scheme applicant","Not main scheme application","1430","1350","0.9450000000000001","0"
"2007","Quintile 1","18","All","All","Main scheme applicant","Not main scheme application","1500","1415","0.9450000000000001","0"
"2008","Quintile 1","18","All","All","Main scheme applicant","Not main scheme application","1700","1585","0.931","0"
"2009","Quintile 1","18","All","All","Main scheme applicant","Not main scheme application","2080","1810","0.871","0"
"2010","Quintile 1","18","All","All","Main scheme applicant","Not main scheme application","2325","1925","0.8270000000000001","0"
"2011","Quintile 1","18","All","All","Main scheme applicant","Not main scheme application","2945","2390","0.81","0"
"2012","Quintile 1","18","All","All","Main scheme applicant","Not main scheme application","2725","2330","0.855","0"
"2013","Quintile 1","18","All","All","Main scheme applicant","Not main scheme application","2590","2265","0.875","0"
"2014","Quintile 1","18","All","All","Main scheme applicant","Not main scheme application","2940","2575","0.877","0"
"2015","Quintile 1","18","All","All","Main scheme applicant","Not main scheme application","3150","2765","0.878","0"
"2016","Quintile 1","18","All","All","Main scheme applicant","Not main scheme application","3275","2895","0.883","0"
"2017","Quintile 1","18","All","All","Main scheme applicant","Not main scheme application","3360","3070","0.913","0"
"2018","Quintile 1","18","All","All","Main scheme applicant","Not main scheme application","3330","3020","0.907","0"
"2019","Quintile 1","18","All","All","Main scheme applicant","Not main scheme application","3675","3410","0.928","0"
"2020","Quintile 1","18","All","All","Main scheme applicant","Not main scheme application","3710","3480","0.9390000000000001","0"
"2021","Quintile 1","18","All","All","Main scheme applicant","Not main scheme application","3230","2925","0.906","0"
"2022","Quintile 1","18","All","All","Main scheme applicant","Not main scheme application","4565","4080","0.894","0"
"2023","Quintile 1","18","All","All","Main scheme applicant","Not main scheme application","4935","4500","0.911","0"
"2006","Quintile 2","18","All","All","Main scheme applicant","Not main scheme application","2250","2115","0.9410000000000001","0"
"2007","Quintile 2","18","All","All","Main scheme applicant","Not main scheme application","2300","2175","0.9460000000000001","0"
"2008","Quintile 2","18","All","All","Main scheme applicant","Not main scheme application","2815","2635","0.936","0"
"2009","Quintile 2","18","All","All","Main scheme applicant","Not main scheme application","3340","2985","0.893","0"
"2010","Quintile 2","18","All","All","Main scheme applicant","Not main scheme application","3660","3070","0.839","0"
"2011","Quintile 2","18","All","All","Main scheme applicant","Not main scheme application","4405","3665","0.833","0"
"2012","Quintile 2","18","All","All","Main scheme applicant","Not main scheme application","4090","3580","0.875","0"
"2013","Quintile 2","18","All","All","Main scheme applicant","Not main scheme application","3850","3395","0.882","0"
"2014","Quintile 2","18","All","All","Main scheme applicant","Not main scheme application","4310","3795","0.881","0"
"2015","Quintile 2","18","All","All","Main scheme applicant","Not main scheme application","4665","4145","0.888","0"
"2016","Quintile 2","18","All","All","Main scheme applicant","Not main scheme application","4600","4120","0.896","0"
"2017","Quintile 2","18","All","All","Main scheme applicant","Not main scheme application","4580","4190","0.915","0"
"2018","Quintile 2","18","All","All","Main scheme applicant","Not main scheme application","4650","4315","0.928","0"
"2019","Quintile 2","18","All","All","Main scheme applicant","Not main scheme application","5180","4780","0.922","0"
"2020","Quintile 2","18","All","All","Main scheme applicant","Not main scheme application","5380","5070","0.9420000000000001","0"
"2021","Quintile 2","18","All","All","Main scheme applicant","Not main scheme application","4470","4080","0.913","0"
"2022","Quintile 2","18","All","All","Main scheme applicant","Not main scheme application","5955","5360","0.9","0"
"2023","Quintile 2","18","All","All","Main scheme applicant","Not main scheme application","6470","5915","0.914","0"
"2006","Quintile 3","18","All","All","Main scheme applicant","Not main scheme application","3210","3040","0.9470000000000001","0"
"2007","Quintile 3","18","All","All","Main scheme applicant","Not main scheme application","3310","3125","0.9440000000000001","0"
"2008","Quintile 3","18","All","All","Main scheme applicant","Not main scheme application","3590","3350","0.933","0"
"2009","Quintile 3","18","All","All","Main scheme applicant","Not main scheme application","4460","3985","0.894","0"
"2010","Quintile 3","18","All","All","Main scheme applicant","Not main scheme application","5010","4285","0.856","0"
"2011","Quintile 3","18","All","All","Main scheme applicant","Not main scheme application","5820","4915","0.845","0"
"2012","Quintile 3","18","All","All","Main scheme applicant","Not main scheme application","5530","4875","0.882","0"
"2013","Quintile 3","18","All","All","Main scheme applicant","Not main scheme application","5245","4670","0.89","0"
"2014","Quintile 3","18","All","All","Main scheme applicant","Not main scheme application","5605","4975","0.888","0"
"2015","Quintile 3","18","All","All","Main scheme applicant","Not main scheme application","5980","5355","0.896","0"
"2016","Quintile 3","18","All","All","Main scheme applicant","Not main scheme application","6445","5755","0.893","0"
"2017","Quintile 3","18","All","All","Main scheme applicant","Not main scheme application","6315","5775","0.915","0"
"2018","Quintile 3","18","All","All","Main scheme applicant","Not main scheme application","6305","5850","0.928","0"
"2019","Quintile 3","18","All","All","Main scheme applicant","Not main scheme application","6955","6465","0.929","0"
"2020","Quintile 3","18","All","All","Main scheme applicant","Not main scheme application","7340","6915","0.9420000000000001","0"
"2021","Quintile 3","18","All","All","Main scheme applicant","Not main scheme application","5900","5410","0.916","0"
"2022","Quintile 3","18","All","All","Main scheme applicant","Not main scheme application","8075","7295","0.904","0"
"2023","Quintile 3","18","All","All","Main scheme applicant","Not main scheme application","8395","7725","0.92","0"
"2006","Quintile 4","18","All","All","Main scheme applicant","Not main scheme application","4205","3980","0.9460000000000001","0"
"2007","Quintile 4","18","All","All","Main scheme applicant","Not main scheme application","4410","4180","0.9490000000000001","0"
"2008","Quintile 4","18","All","All","Main scheme applicant","Not main scheme application","4880","4625","0.9480000000000001","0"
"2009","Quintile 4","18","All","All","Main scheme applicant","Not main scheme application","5745","5105","0.888","0"
"2010","Quintile 4","18","All","All","Main scheme applicant","Not main scheme application","6490","5640","0.869","0"
"2011","Quintile 4","18","All","All","Main scheme applicant","Not main scheme application","7800","6710","0.86","0"
"2012","Quintile 4","18","All","All","Main scheme applicant","Not main scheme application","7100","6305","0.888","0"
"2013","Quintile 4","18","All","All","Main scheme applicant","Not main scheme application","6750","6075","0.9","0"
"2014","Quintile 4","18","All","All","Main scheme applicant","Not main scheme application","7530","6780","0.9","0"
"2015","Quintile 4","18","All","All","Main scheme applicant","Not main scheme application","7665","6945","0.906","0"
"2016","Quintile 4","18","All","All","Main scheme applicant","Not main scheme application","7880","7125","0.904","0"
"2017","Quintile 4","18","All","All","Main scheme applicant","Not main scheme application","8385","7695","0.918","0"
"2018","Quintile 4","18","All","All","Main scheme applicant","Not main scheme application","8055","7490","0.93","0"
"2019","Quintile 4","18","All","All","Main scheme applicant","Not main scheme application","8940","8275","0.925","0"
"2020","Quintile 4","18","All","All","Main scheme applicant","Not main scheme application","9740","9205","0.9450000000000001","0"
"2021","Quintile 4","18","All","All","Main scheme applicant","Not main scheme application","7405","6790","0.917","0"
"2022","Quintile 4","18","All","All","Main scheme applicant","Not main scheme application","9700","8820","0.909","0"
"2023","Quintile 4","18","All","All","Main scheme applicant","Not main scheme application","10380","9565","0.921","0"
"2006","Quintile 5","18","All","All","Main scheme applicant","Not main scheme application","6145","5840","0.9510000000000001","0"
"2007","Quintile 5","18","All","All","Main scheme applicant","Not main scheme application","6225","5920","0.9510000000000001","0"
"2008","Quintile 5","18","All","All","Main scheme applicant","Not main scheme application","6830","6450","0.9440000000000001","0"
"2009","Quintile 5","18","All","All","Main scheme applicant","Not main scheme application","8060","7295","0.905","0"
"2010","Quintile 5","18","All","All","Main scheme applicant","Not main scheme application","8395","7410","0.883","0"
"2011","Quintile 5","18","All","All","Main scheme applicant","Not main scheme application","10075","8815","0.875","0"
"2012","Quintile 5","18","All","All","Main scheme applicant","Not main scheme application","9100","8250","0.906","0"
"2013","Quintile 5","18","All","All","Main scheme applicant","Not main scheme application","8675","7880","0.909","0"
"2014","Quintile 5","18","All","All","Main scheme applicant","Not main scheme application","9695","8770","0.904","0"
"2015","Quintile 5","18","All","All","Main scheme applicant","Not main scheme application","9920","9065","0.914","0"
"2016","Quintile 5","18","All","All","Main scheme applicant","Not main scheme application","10855","9915","0.913","0"
"2017","Quintile 5","18","All","All","Main scheme applicant","Not main scheme application","11210","10365","0.925","0"
"2018","Quintile 5","18","All","All","Main scheme applicant","Not main scheme application","10905","10080","0.924","0"
"2019","Quintile 5","18","All","All","Main scheme applicant","Not main scheme application","12325","11495","0.933","0"
"2020","Quintile 5","18","All","All","Main scheme applicant","Not main scheme application","13925","13235","0.9510000000000001","0"
"2021","Quintile 5","18","All","All","Main scheme applicant","Not main scheme application","9125","8415","0.922","0"
"2022","Quintile 5","18","All","All","Main scheme applicant","Not main scheme application","12070","10905","0.903","0"
"2023","Quintile 5","18","All","All","Main scheme applicant","Not main scheme application","13380","12305","0.92","0"
"2006","Unknown","19","All","All","Main scheme applicant","Not main scheme application","65","60","0.923","0"
"2007","Unknown","19","All","All","Main scheme applicant","Not main scheme application","60","50","0.864","0"
"2008","Unknown","19","All","All","Main scheme applicant","Not main scheme application","140","125","0.885","0"
"2009","Unknown","19","All","All","Main scheme applicant","Not main scheme application","50","40","0.8130000000000001","0"
"2010","Unknown","19","All","All","Main scheme applicant","Not main scheme application","25","15","0.68","0"
"2011","Unknown","19","All","All","Main scheme applicant","Not main scheme application","30","15","0.536","0"
"2012","Unknown","19","All","All","Main scheme applicant","Not main scheme application","35","25","0.73","0"
"2013","Unknown","19","All","All","Main scheme applicant","Not main scheme application","15","10","0.857","0"
"2014","Unknown","19","All","All","Main scheme applicant","Not main scheme application","25","20","0.75","0"
"2015","Unknown","19","All","All","Main scheme applicant","Not main scheme application","25","15","0.615","0"
"2016","Unknown","19","All","All","Main scheme applicant","Not main scheme application","20","15","0.778","0"
"2017","Unknown","19","All","All","Main scheme applicant","Not main scheme application","15","15","0.8130000000000001","0"
"2018","Unknown","19","All","All","Main scheme applicant","Not main scheme application","20","15","0.778","0"
"2019","Unknown","19","All","All","Main scheme applicant","Not main scheme application","15","10","0.8","0"
"2020","Unknown","19","All","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2021","Unknown","19","All","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2022","Unknown","19","All","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2023","Unknown","19","All","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2006","Quintile 1","19","All","All","Main scheme applicant","Not main scheme application","510","470","0.929","0"
"2007","Quintile 1","19","All","All","Main scheme applicant","Not main scheme application","605","575","0.9490000000000001","0"
"2008","Quintile 1","19","All","All","Main scheme applicant","Not main scheme application","675","610","0.903","0"
"2009","Quintile 1","19","All","All","Main scheme applicant","Not main scheme application","880","755","0.86","0"
"2010","Quintile 1","19","All","All","Main scheme applicant","Not main scheme application","1120","895","0.798","0"
"2011","Quintile 1","19","All","All","Main scheme applicant","Not main scheme application","1335","1030","0.772","0"
"2012","Quintile 1","19","All","All","Main scheme applicant","Not main scheme application","1285","1055","0.8220000000000001","0"
"2013","Quintile 1","19","All","All","Main scheme applicant","Not main scheme application","1270","1070","0.842","0"
"2014","Quintile 1","19","All","All","Main scheme applicant","Not main scheme application","1385","1190","0.857","0"
"2015","Quintile 1","19","All","All","Main scheme applicant","Not main scheme application","1410","1235","0.875","0"
"2016","Quintile 1","19","All","All","Main scheme applicant","Not main scheme application","1375","1185","0.86","0"
"2017","Quintile 1","19","All","All","Main scheme applicant","Not main scheme application","1190","1040","0.875","0"
"2018","Quintile 1","19","All","All","Main scheme applicant","Not main scheme application","1055","940","0.89","0"
"2019","Quintile 1","19","All","All","Main scheme applicant","Not main scheme application","1105","985","0.893","0"
"2020","Quintile 1","19","All","All","Main scheme applicant","Not main scheme application","1040","960","0.924","0"
"2021","Quintile 1","19","All","All","Main scheme applicant","Not main scheme application","980","845","0.866","0"
"2022","Quintile 1","19","All","All","Main scheme applicant","Not main scheme application","1105","915","0.8280000000000001","0"
"2023","Quintile 1","19","All","All","Main scheme applicant","Not main scheme application","1155","955","0.8240000000000001","0"
"2006","Quintile 2","19","All","All","Main scheme applicant","Not main scheme application","740","700","0.9470000000000001","0"
"2007","Quintile 2","19","All","All","Main scheme applicant","Not main scheme application","915","875","0.9560000000000001","0"
"2008","Quintile 2","19","All","All","Main scheme applicant","Not main scheme application","1025","950","0.927","0"
"2009","Quintile 2","19","All","All","Main scheme applicant","Not main scheme application","1280","1120","0.873","0"
"2010","Quintile 2","19","All","All","Main scheme applicant","Not main scheme application","1575","1270","0.806","0"
"2011","Quintile 2","19","All","All","Main scheme applicant","Not main scheme application","1900","1500","0.788","0"
"2012","Quintile 2","19","All","All","Main scheme applicant","Not main scheme application","1760","1505","0.856","0"
"2013","Quintile 2","19","All","All","Main scheme applicant","Not main scheme application","1725","1485","0.863","0"
"2014","Quintile 2","19","All","All","Main scheme applicant","Not main scheme application","1875","1625","0.865","0"
"2015","Quintile 2","19","All","All","Main scheme applicant","Not main scheme application","1860","1635","0.88","0"
"2016","Quintile 2","19","All","All","Main scheme applicant","Not main scheme application","1840","1605","0.872","0"
"2017","Quintile 2","19","All","All","Main scheme applicant","Not main scheme application","1650","1485","0.898","0"
"2018","Quintile 2","19","All","All","Main scheme applicant","Not main scheme application","1515","1380","0.909","0"
"2019","Quintile 2","19","All","All","Main scheme applicant","Not main scheme application","1450","1315","0.907","0"
"2020","Quintile 2","19","All","All","Main scheme applicant","Not main scheme application","1365","1235","0.903","0"
"2021","Quintile 2","19","All","All","Main scheme applicant","Not main scheme application","1230","1060","0.859","0"
"2022","Quintile 2","19","All","All","Main scheme applicant","Not main scheme application","1420","1195","0.843","0"
"2023","Quintile 2","19","All","All","Main scheme applicant","Not main scheme application","1530","1320","0.863","0"
"2006","Quintile 3","19","All","All","Main scheme applicant","Not main scheme application","1100","1045","0.9460000000000001","0"
"2007","Quintile 3","19","All","All","Main scheme applicant","Not main scheme application","1245","1175","0.9460000000000001","0"
"2008","Quintile 3","19","All","All","Main scheme applicant","Not main scheme application","1460","1375","0.9440000000000001","0"
"2009","Quintile 3","19","All","All","Main scheme applicant","Not main scheme application","1735","1470","0.848","0"
"2010","Quintile 3","19","All","All","Main scheme applicant","Not main scheme application","2170","1775","0.8180000000000001","0"
"2011","Quintile 3","19","All","All","Main scheme applicant","Not main scheme application","2650","2135","0.807","0"
"2012","Quintile 3","19","All","All","Main scheme applicant","Not main scheme application","2360","2010","0.85","0"
"2013","Quintile 3","19","All","All","Main scheme applicant","Not main scheme application","2295","2020","0.881","0"
"2014","Quintile 3","19","All","All","Main scheme applicant","Not main scheme application","2550","2210","0.868","0"
"2015","Quintile 3","19","All","All","Main scheme applicant","Not main scheme application","2590","2315","0.893","0"
"2016","Quintile 3","19","All","All","Main scheme applicant","Not main scheme application","2580","2295","0.889","0"
"2017","Quintile 3","19","All","All","Main scheme applicant","Not main scheme application","2270","2055","0.904","0"
"2018","Quintile 3","19","All","All","Main scheme applicant","Not main scheme application","2035","1835","0.903","0"
"2019","Quintile 3","19","All","All","Main scheme applicant","Not main scheme application","2020","1840","0.91","0"
"2020","Quintile 3","19","All","All","Main scheme applicant","Not main scheme application","1850","1695","0.917","0"
"2021","Quintile 3","19","All","All","Main scheme applicant","Not main scheme application","1620","1415","0.875","0"
"2022","Quintile 3","19","All","All","Main scheme applicant","Not main scheme application","1790","1535","0.86","0"
"2023","Quintile 3","19","All","All","Main scheme applicant","Not main scheme application","1960","1675","0.853","0"
"2006","Quintile 4","19","All","All","Main scheme applicant","Not main scheme application","1495","1410","0.9440000000000001","0"
"2007","Quintile 4","19","All","All","Main scheme applicant","Not main scheme application","1735","1625","0.936","0"
"2008","Quintile 4","19","All","All","Main scheme applicant","Not main scheme application","1935","1805","0.933","0"
"2009","Quintile 4","19","All","All","Main scheme applicant","Not main scheme application","2395","2105","0.879","0"
"2010","Quintile 4","19","All","All","Main scheme applicant","Not main scheme application","2760","2305","0.835","0"
"2011","Quintile 4","19","All","All","Main scheme applicant","Not main scheme application","3305","2745","0.8300000000000001","0"
"2012","Quintile 4","19","All","All","Main scheme applicant","Not main scheme application","2960","2610","0.881","0"
"2013","Quintile 4","19","All","All","Main scheme applicant","Not main scheme application","3065","2720","0.888","0"
"2014","Quintile 4","19","All","All","Main scheme applicant","Not main scheme application","3355","2985","0.889","0"
"2015","Quintile 4","19","All","All","Main scheme applicant","Not main scheme application","3475","3180","0.915","0"
"2016","Quintile 4","19","All","All","Main scheme applicant","Not main scheme application","3345","2990","0.893","0"
"2017","Quintile 4","19","All","All","Main scheme applicant","Not main scheme application","2835","2585","0.912","0"
"2018","Quintile 4","19","All","All","Main scheme applicant","Not main scheme application","2615","2415","0.923","0"
"2019","Quintile 4","19","All","All","Main scheme applicant","Not main scheme application","2565","2355","0.918","0"
"2020","Quintile 4","19","All","All","Main scheme applicant","Not main scheme application","2330","2155","0.925","0"
"2021","Quintile 4","19","All","All","Main scheme applicant","Not main scheme application","1970","1765","0.895","0"
"2022","Quintile 4","19","All","All","Main scheme applicant","Not main scheme application","2080","1815","0.874","0"
"2023","Quintile 4","19","All","All","Main scheme applicant","Not main scheme application","2220","1955","0.881","0"
"2006","Quintile 5","19","All","All","Main scheme applicant","Not main scheme application","1865","1775","0.9500000000000001","0"
"2007","Quintile 5","19","All","All","Main scheme applicant","Not main scheme application","2120","2020","0.9510000000000001","0"
"2008","Quintile 5","19","All","All","Main scheme applicant","Not main scheme application","2405","2275","0.9450000000000001","0"
"2009","Quintile 5","19","All","All","Main scheme applicant","Not main scheme application","2915","2570","0.883","0"
"2010","Quintile 5","19","All","All","Main scheme applicant","Not main scheme application","3280","2815","0.858","0"
"2011","Quintile 5","19","All","All","Main scheme applicant","Not main scheme application","3925","3320","0.846","0"
"2012","Quintile 5","19","All","All","Main scheme applicant","Not main scheme application","3305","2960","0.896","0"
"2013","Quintile 5","19","All","All","Main scheme applicant","Not main scheme application","3560","3235","0.908","0"
"2014","Quintile 5","19","All","All","Main scheme applicant","Not main scheme application","3850","3470","0.901","0"
"2015","Quintile 5","19","All","All","Main scheme applicant","Not main scheme application","3880","3535","0.912","0"
"2016","Quintile 5","19","All","All","Main scheme applicant","Not main scheme application","3845","3485","0.907","0"
"2017","Quintile 5","19","All","All","Main scheme applicant","Not main scheme application","3360","3090","0.92","0"
"2018","Quintile 5","19","All","All","Main scheme applicant","Not main scheme application","3120","2865","0.918","0"
"2019","Quintile 5","19","All","All","Main scheme applicant","Not main scheme application","3050","2820","0.925","0"
"2020","Quintile 5","19","All","All","Main scheme applicant","Not main scheme application","3030","2795","0.923","0"
"2021","Quintile 5","19","All","All","Main scheme applicant","Not main scheme application","2055","1870","0.91","0"
"2022","Quintile 5","19","All","All","Main scheme applicant","Not main scheme application","2450","2110","0.862","0"
"2023","Quintile 5","19","All","All","Main scheme applicant","Not main scheme application","2780","2490","0.895","0"
"2006","Unknown","20","All","All","Main scheme applicant","Not main scheme application","30","25","0.9","0"
"2007","Unknown","20","All","All","Main scheme applicant","Not main scheme application","25","20","0.84","0"
"2008","Unknown","20","All","All","Main scheme applicant","Not main scheme application","60","50","0.8200000000000001","0"
"2009","Unknown","20","All","All","Main scheme applicant","Not main scheme application","25","15","0.625","0"
"2010","Unknown","20","All","All","Main scheme applicant","Not main scheme application","20","15","0.7000000000000001","0"
"2011","Unknown","20","All","All","Main scheme applicant","Not main scheme application","15","5"," ","0"
"2012","Unknown","20","All","All","Main scheme applicant","Not main scheme application","25","20","0.783","0"
"2013","Unknown","20","All","All","Main scheme applicant","Not main scheme application","15","10","0.857","0"
"2014","Unknown","20","All","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","Unknown","20","All","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","Unknown","20","All","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","Unknown","20","All","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2018","Unknown","20","All","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","Unknown","20","All","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2020","Unknown","20","All","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Unknown","20","All","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2006","Quintile 1","20","All","All","Main scheme applicant","Not main scheme application","200","185","0.92","0"
"2007","Quintile 1","20","All","All","Main scheme applicant","Not main scheme application","225","210","0.937","0"
"2008","Quintile 1","20","All","All","Main scheme applicant","Not main scheme application","290","265","0.904","0"
"2009","Quintile 1","20","All","All","Main scheme applicant","Not main scheme application","385","290","0.756","0"
"2010","Quintile 1","20","All","All","Main scheme applicant","Not main scheme application","420","305","0.718","0"
"2011","Quintile 1","20","All","All","Main scheme applicant","Not main scheme application","585","405","0.6890000000000001","0"
"2012","Quintile 1","20","All","All","Main scheme applicant","Not main scheme application","565","430","0.764","0"
"2013","Quintile 1","20","All","All","Main scheme applicant","Not main scheme application","495","375","0.761","0"
"2014","Quintile 1","20","All","All","Main scheme applicant","Not main scheme application","600","465","0.774","0"
"2015","Quintile 1","20","All","All","Main scheme applicant","Not main scheme application","540","410","0.761","0"
"2016","Quintile 1","20","All","All","Main scheme applicant","Not main scheme application","520","405","0.782","0"
"2017","Quintile 1","20","All","All","Main scheme applicant","Not main scheme application","500","390","0.787","0"
"2018","Quintile 1","20","All","All","Main scheme applicant","Not main scheme application","410","345","0.841","0"
"2019","Quintile 1","20","All","All","Main scheme applicant","Not main scheme application","455","395","0.867","0"
"2020","Quintile 1","20","All","All","Main scheme applicant","Not main scheme application","405","345","0.849","0"
"2021","Quintile 1","20","All","All","Main scheme applicant","Not main scheme application","480","390","0.8130000000000001","0"
"2022","Quintile 1","20","All","All","Main scheme applicant","Not main scheme application","430","335","0.779","0"
"2023","Quintile 1","20","All","All","Main scheme applicant","Not main scheme application","440","340","0.771","0"
"2006","Quintile 2","20","All","All","Main scheme applicant","Not main scheme application","290","265","0.91","0"
"2007","Quintile 2","20","All","All","Main scheme applicant","Not main scheme application","335","305","0.919","0"
"2008","Quintile 2","20","All","All","Main scheme applicant","Not main scheme application","400","360","0.907","0"
"2009","Quintile 2","20","All","All","Main scheme applicant","Not main scheme application","500","410","0.8200000000000001","0"
"2010","Quintile 2","20","All","All","Main scheme applicant","Not main scheme application","630","470","0.745","0"
"2011","Quintile 2","20","All","All","Main scheme applicant","Not main scheme application","710","500","0.709","0"
"2012","Quintile 2","20","All","All","Main scheme applicant","Not main scheme application","745","555","0.747","0"
"2013","Quintile 2","20","All","All","Main scheme applicant","Not main scheme application","620","485","0.785","0"
"2014","Quintile 2","20","All","All","Main scheme applicant","Not main scheme application","725","580","0.799","0"
"2015","Quintile 2","20","All","All","Main scheme applicant","Not main scheme application","715","570","0.8","0"
"2016","Quintile 2","20","All","All","Main scheme applicant","Not main scheme application","635","485","0.759","0"
"2017","Quintile 2","20","All","All","Main scheme applicant","Not main scheme application","615","510","0.8290000000000001","0"
"2018","Quintile 2","20","All","All","Main scheme applicant","Not main scheme application","520","445","0.849","0"
"2019","Quintile 2","20","All","All","Main scheme applicant","Not main scheme application","500","425","0.849","0"
"2020","Quintile 2","20","All","All","Main scheme applicant","Not main scheme application","515","435","0.85","0"
"2021","Quintile 2","20","All","All","Main scheme applicant","Not main scheme application","510","405","0.798","0"
"2022","Quintile 2","20","All","All","Main scheme applicant","Not main scheme application","550","430","0.785","0"
"2023","Quintile 2","20","All","All","Main scheme applicant","Not main scheme application","545","450","0.8220000000000001","0"
"2006","Quintile 3","20","All","All","Main scheme applicant","Not main scheme application","425","395","0.934","0"
