"Year","Subject group HECoS","Detailed subject group HECoS","Provider country","Main scheme applications","Main scheme offers","Main scheme offer rate"
"2019","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","England","7515","2830","0.376"
"2020","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","England","7955","3590","0.452"
"2021","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","England","9605","3600","0.375"
"2022","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","England","8580","2895","0.337"
"2023","(CAH02) subjects allied to medicine","(CAH02-04-01) nursing (non-specific)","England","7215","2595","0.36"
"2019","(CAH19) language and area studies","(CAH19-01-05) creative writing","England","6635","5515","0.8310000000000001"
"2020","(CAH19) language and area studies","(CAH19-01-05) creative writing","England","6720","5720","0.851"
"2021","(CAH19) language and area studies","(CAH19-01-05) creative writing","England","6415","5660","0.883"
"2022","(CAH19) language and area studies","(CAH19-01-05) creative writing","England","7385","6330","0.857"
"2023","(CAH19) language and area studies","(CAH19-01-05) creative writing","England","7580","6435","0.849"
"2019","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","England","1695","1575","0.93"
"2020","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","England","1175","1095","0.93"
"2021","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","England","1015","985","0.968"
"2022","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","England","950","890","0.9390000000000001"
"2023","(CAH19) language and area studies","(CAH19-04-08) American and Australasian studies","England","745","710","0.9550000000000001"
"2019","(CAH19) language and area studies","(CAH19-01-06) others in English studies","England","170","150","0.871"
"2020","(CAH19) language and area studies","(CAH19-01-06) others in English studies","England","135","120","0.882"
"2021","(CAH19) language and area studies","(CAH19-01-06) others in English studies","England","145","140","0.9530000000000001"
"2022","(CAH19) language and area studies","(CAH19-01-06) others in English studies","England","80","75","0.9460000000000001"
"2023","(CAH19) language and area studies","(CAH19-01-06) others in English studies","England","145","130","0.891"
"2019","(CAH19) language and area studies","(CAH19-01-02) English language","England","4745","4235","0.892"
"2020","(CAH19) language and area studies","(CAH19-01-02) English language","England","4260","3780","0.888"
"2021","(CAH19) language and area studies","(CAH19-01-02) English language","England","3640","3240","0.89"
"2022","(CAH19) language and area studies","(CAH19-01-02) English language","England","3540","3085","0.871"
"2023","(CAH19) language and area studies","(CAH19-01-02) English language","England","3375","2955","0.875"
"2019","(CAH19) language and area studies","(CAH19-01-03) literature in English","England","18225","16090","0.883"
"2020","(CAH19) language and area studies","(CAH19-01-03) literature in English","England","16710","14640","0.876"
"2021","(CAH19) language and area studies","(CAH19-01-03) literature in English","England","16175","14175","0.876"
"2022","(CAH19) language and area studies","(CAH19-01-03) literature in English","England","15940","13375","0.839"
"2023","(CAH19) language and area studies","(CAH19-01-03) literature in English","England","17005","14565","0.856"
"2019","(CAH19) language and area studies","(CAH19-01-01) English studies (non-specific)","England","18900","15730","0.8320000000000001"
