"------------------------------------------------------------------"
"Sex, area background and ethnic group			"
"------------------------------------------------------------------"
"This file contains data used reported in the Sex, area background and ethnic group reports, covering all providers for whom reports have been published on the UCAS website."
"Cycle years: 2010 - 2021"
"Cycle reference point: End of Cycle"
"Applicant coverage: UK domiciled"
"Equality dimensions: Sex, POLAR4, SIMD 2016, ethnic group"
"Statistics reported:"
"June deadline applicants, placed June deadline applicants, all placed applicants, June deadline applicants per 10,000 population, placed June deadline applicants per 10,000 population,"
"all placed applicants per 10,000 population"
"June deadline applications, offers, offer rate, average offer rate, percentage point difference between offer rate and average offer rate, contribution of group to the average offer rate"
"Non-disclosure controls: To avoid the disclosure of information about any individual the following measures are taken"
"Applicants, placed applicants, applications and offers are rounded to the nearest 5."
"Applicants/placed applicants per 10,000 population figures are reported as 0 if the applicant/placed applicant figures are rounded to 0."
"All statistics related to the offer rate are not reported when the number of applications for a group is less than 10. The percentage point difference between the offer rate and"
"the average offer rate is not reported when the number of applications for a group is less than 50."
"Offer rates are reported as 0% if there are fewer than 5 offers, and 100% if the number of offers is within 5 of the number of applications. When the offer rate is reported as 0% or 100%,"
"it is reported in italics."
"------------------------------------------------------------------"
Please refer to the Sex, area background and ethnic group reports specified above for technical notes and definitions.
Data lines are comma delimited.
Data follows - 2808 lines in total
------------------------------------------------------------------
appl_higher_lev_dom,Cycle,statistic,equality_dimension,agegroup,value
UK providers,2015,June deadline applicants,Asian ethnic group,All ages,60465
UK providers,2015,June deadline applicants,Mixed ethnic group,All ages,22500
UK providers,2015,June deadline applicants,Other ethnic group,All ages,8695
UK providers,2015,June deadline applicants,POLAR4 Q1,All ages,70385
UK providers,2015,June deadline applicants,POLAR4 Q2,All ages,89925
UK providers,2015,June deadline applicants,POLAR4 Q3,All ages,106365
UK providers,2015,June deadline applicants,POLAR4 Q4,All ages,125465
UK providers,2015,June deadline applicants,POLAR4 Q5,All ages,160260
UK providers,2015,June deadline applicants,Men,All ages,232630
UK providers,2015,June deadline applicants,Women,All ages,320600
UK providers,2016,June deadline applicants,Total,All ages,553345
UK providers,2016,June deadline applicants,White ethnic group,All ages,407600
UK providers,2016,June deadline applicants,Black ethnic group,All ages,46415
UK providers,2016,June deadline applicants,Asian ethnic group,All ages,62115
UK providers,2016,June deadline applicants,Mixed ethnic group,All ages,23280
UK providers,2016,June deadline applicants,Other ethnic group,All ages,9080
UK providers,2016,June deadline applicants,POLAR4 Q1,All ages,70475
UK providers,2016,June deadline applicants,POLAR4 Q2,All ages,89740
UK providers,2016,June deadline applicants,POLAR4 Q3,All ages,106000
UK providers,2016,June deadline applicants,POLAR4 Q4,All ages,124875
UK providers,2016,June deadline applicants,POLAR4 Q5,All ages,161385
UK providers,2016,June deadline applicants,Men,All ages,231420
UK providers,2016,June deadline applicants,Women,All ages,321920
UK providers,2017,June deadline applicants,Total,All ages,529240
UK providers,2017,June deadline applicants,White ethnic group,All ages,388255
UK providers,2017,June deadline applicants,Black ethnic group,All ages,42555
UK providers,2017,June deadline applicants,Asian ethnic group,All ages,61175
UK providers,2017,June deadline applicants,Mixed ethnic group,All ages,23180
UK providers,2017,June deadline applicants,Other ethnic group,All ages,9380
UK providers,2017,June deadline applicants,POLAR4 Q1,All ages,67285
UK providers,2017,June deadline applicants,POLAR4 Q2,All ages,84860
UK providers,2017,June deadline applicants,POLAR4 Q3,All ages,101160
UK providers,2017,June deadline applicants,POLAR4 Q4,All ages,119425
UK providers,2017,June deadline applicants,POLAR4 Q5,All ages,155750
UK providers,2017,June deadline applicants,Men,All ages,222750
UK providers,2017,June deadline applicants,Women,All ages,306490
UK providers,2018,June deadline applicants,Total,All ages,511055
UK providers,2018,June deadline applicants,White ethnic group,All ages,370760
UK providers,2018,June deadline applicants,Black ethnic group,All ages,40670
UK providers,2018,June deadline applicants,Asian ethnic group,All ages,62165
UK providers,2018,June deadline applicants,Mixed ethnic group,All ages,23135
UK providers,2018,June deadline applicants,Other ethnic group,All ages,9505
UK providers,2018,June deadline applicants,POLAR4 Q1,All ages,64815
UK providers,2018,June deadline applicants,POLAR4 Q2,All ages,81760
UK providers,2018,June deadline applicants,POLAR4 Q3,All ages,96455
UK providers,2018,June deadline applicants,POLAR4 Q4,All ages,115845
UK providers,2018,June deadline applicants,POLAR4 Q5,All ages,151415
UK providers,2018,June deadline applicants,Men,All ages,213860
UK providers,2018,June deadline applicants,Women,All ages,297195
UK providers,2019,June deadline applicants,Total,All ages,505745
UK providers,2019,June deadline applicants,White ethnic group,All ages,358640
UK providers,2019,June deadline applicants,Black ethnic group,All ages,41680
UK providers,2019,June deadline applicants,Asian ethnic group,All ages,65555
UK providers,2019,June deadline applicants,Mixed ethnic group,All ages,24070
UK providers,2019,June deadline applicants,Other ethnic group,All ages,10465
UK providers,2019,June deadline applicants,POLAR4 Q1,All ages,64860
UK providers,2019,June deadline applicants,POLAR4 Q2,All ages,80455
UK providers,2019,June deadline applicants,POLAR4 Q3,All ages,96175
UK providers,2019,June deadline applicants,POLAR4 Q4,All ages,114150
UK providers,2019,June deadline applicants,POLAR4 Q5,All ages,149345
UK providers,2019,June deadline applicants,Men,All ages,209960
UK providers,2019,June deadline applicants,Women,All ages,295785
UK providers,2020,June deadline applicants,Total,All ages,513595
UK providers,2020,June deadline applicants,White ethnic group,All ages,358980
UK providers,2020,June deadline applicants,Black ethnic group,All ages,43975
UK providers,2020,June deadline applicants,Asian ethnic group,All ages,68595
UK providers,2020,June deadline applicants,Mixed ethnic group,All ages,25315
UK providers,2020,June deadline applicants,Other ethnic group,All ages,11215
UK providers,2020,June deadline applicants,POLAR4 Q1,All ages,66980
UK providers,2020,June deadline applicants,POLAR4 Q2,All ages,82605
UK providers,2020,June deadline applicants,POLAR4 Q3,All ages,96995
UK providers,2020,June deadline applicants,POLAR4 Q4,All ages,115055
UK providers,2020,June deadline applicants,POLAR4 Q5,All ages,151265
UK providers,2020,June deadline applicants,Men,All ages,209755
UK providers,2020,June deadline applicants,Women,All ages,303840
UK providers,2021,June deadline applicants,Total,All ages,551130
UK providers,2021,June deadline applicants,White ethnic group,All ages,382700
UK providers,2021,June deadline applicants,Black ethnic group,All ages,47735
UK providers,2021,June deadline applicants,Asian ethnic group,All ages,74535
UK providers,2021,June deadline applicants,Mixed ethnic group,All ages,28155
UK providers,2021,June deadline applicants,Other ethnic group,All ages,12310
UK providers,2021,June deadline applicants,POLAR4 Q1,All ages,72085
UK providers,2021,June deadline applicants,POLAR4 Q2,All ages,88845
UK providers,2021,June deadline applicants,POLAR4 Q3,All ages,104730
UK providers,2021,June deadline applicants,POLAR4 Q4,All ages,123010
UK providers,2021,June deadline applicants,POLAR4 Q5,All ages,161745
UK providers,2021,June deadline applicants,Men,All ages,222900
UK providers,2021,June deadline applicants,Women,All ages,328230
UK providers,2010,Placed June deadline applicants,Total,All ages,362560
UK providers,2010,Placed June deadline applicants,White ethnic group,All ages,295190
UK providers,2010,Placed June deadline applicants,Black ethnic group,All ages,19275
UK providers,2010,Placed June deadline applicants,Asian ethnic group,All ages,30360
UK providers,2010,Placed June deadline applicants,Mixed ethnic group,All ages,11890
UK providers,2010,Placed June deadline applicants,Other ethnic group,All ages,3200
UK providers,2010,Placed June deadline applicants,POLAR4 Q1,All ages,40615
UK providers,2010,Placed June deadline applicants,POLAR4 Q2,All ages,56435
UK providers,2010,Placed June deadline applicants,POLAR4 Q3,All ages,68615
UK providers,2010,Placed June deadline applicants,POLAR4 Q4,All ages,82650
UK providers,2010,Placed June deadline applicants,POLAR4 Q5,All ages,113390
UK providers,2010,Placed June deadline applicants,Men,All ages,159965
UK providers,2010,Placed June deadline applicants,Women,All ages,202600
UK providers,2011,Placed June deadline applicants,Total,All ages,365020
UK providers,2011,Placed June deadline applicants,White ethnic group,All ages,294115
UK providers,2011,Placed June deadline applicants,Black ethnic group,All ages,20345
UK providers,2011,Placed June deadline applicants,Asian ethnic group,All ages,31820
UK providers,2011,Placed June deadline applicants,Mixed ethnic group,All ages,12790
UK providers,2011,Placed June deadline applicants,Other ethnic group,All ages,3410
UK providers,2011,Placed June deadline applicants,POLAR4 Q1,All ages,41595
UK providers,2011,Placed June deadline applicants,POLAR4 Q2,All ages,56660
UK providers,2011,Placed June deadline applicants,POLAR4 Q3,All ages,68505
UK providers,2011,Placed June deadline applicants,POLAR4 Q4,All ages,82910
UK providers,2011,Placed June deadline applicants,POLAR4 Q5,All ages,114570
UK providers,2011,Placed June deadline applicants,Men,All ages,162730
UK providers,2011,Placed June deadline applicants,Women,All ages,202290
UK providers,2012,Placed June deadline applicants,Total,All ages,335185
UK providers,2012,Placed June deadline applicants,White ethnic group,All ages,267005
UK providers,2012,Placed June deadline applicants,Black ethnic group,All ages,19950
UK providers,2012,Placed June deadline applicants,Asian ethnic group,All ages,30250
UK providers,2012,Placed June deadline applicants,Mixed ethnic group,All ages,11855
UK providers,2012,Placed June deadline applicants,Other ethnic group,All ages,4040
UK providers,2012,Placed June deadline applicants,POLAR4 Q1,All ages,39340
UK providers,2012,Placed June deadline applicants,POLAR4 Q2,All ages,52780
UK providers,2012,Placed June deadline applicants,POLAR4 Q3,All ages,63160
UK providers,2012,Placed June deadline applicants,POLAR4 Q4,All ages,75450
UK providers,2012,Placed June deadline applicants,POLAR4 Q5,All ages,103800
UK providers,2012,Placed June deadline applicants,Men,All ages,147545
UK providers,2012,Placed June deadline applicants,Women,All ages,187635
UK providers,2013,Placed June deadline applicants,Total,All ages,359300
UK providers,2013,Placed June deadline applicants,White ethnic group,All ages,284965
UK providers,2013,Placed June deadline applicants,Black ethnic group,All ages,21455
UK providers,2013,Placed June deadline applicants,Asian ethnic group,All ages,33405
UK providers,2013,Placed June deadline applicants,Mixed ethnic group,All ages,13075
UK providers,2013,Placed June deadline applicants,Other ethnic group,All ages,4225
UK providers,2013,Placed June deadline applicants,POLAR4 Q1,All ages,42820
UK providers,2013,Placed June deadline applicants,POLAR4 Q2,All ages,56915
UK providers,2013,Placed June deadline applicants,POLAR4 Q3,All ages,68410
UK providers,2013,Placed June deadline applicants,POLAR4 Q4,All ages,80835
UK providers,2013,Placed June deadline applicants,POLAR4 Q5,All ages,109740
UK providers,2013,Placed June deadline applicants,Men,All ages,159050
UK providers,2013,Placed June deadline applicants,Women,All ages,200250
UK providers,2014,Placed June deadline applicants,Total,All ages,368950
UK providers,2014,Placed June deadline applicants,White ethnic group,All ages,290980
UK providers,2014,Placed June deadline applicants,Black ethnic group,All ages,22380
UK providers,2014,Placed June deadline applicants,Asian ethnic group,All ages,34780
UK providers,2014,Placed June deadline applicants,Mixed ethnic group,All ages,14075
UK providers,2014,Placed June deadline applicants,Other ethnic group,All ages,4695
UK providers,2014,Placed June deadline applicants,POLAR4 Q1,All ages,46130
UK providers,2014,Placed June deadline applicants,POLAR4 Q2,All ages,59795
UK providers,2014,Placed June deadline applicants,POLAR4 Q3,All ages,70490
UK providers,2014,Placed June deadline applicants,POLAR4 Q4,All ages,82280
UK providers,2014,Placed June deadline applicants,POLAR4 Q5,All ages,109745
UK providers,2014,Placed June deadline applicants,Men,All ages,161515
UK providers,2014,Placed June deadline applicants,Women,All ages,207435
UK providers,2015,Placed June deadline applicants,Total,All ages,379520
UK providers,2015,Placed June deadline applicants,White ethnic group,All ages,295345
UK providers,2015,Placed June deadline applicants,Black ethnic group,All ages,23625
UK providers,2015,Placed June deadline applicants,Asian ethnic group,All ages,37160
UK providers,2015,Placed June deadline applicants,Mixed ethnic group,All ages,15410
UK providers,2015,Placed June deadline applicants,Other ethnic group,All ages,5170
UK providers,2015,Placed June deadline applicants,POLAR4 Q1,All ages,47065
UK providers,2015,Placed June deadline applicants,POLAR4 Q2,All ages,61065
UK providers,2015,Placed June deadline applicants,POLAR4 Q3,All ages,72410
UK providers,2015,Placed June deadline applicants,POLAR4 Q4,All ages,85165
UK providers,2015,Placed June deadline applicants,POLAR4 Q5,All ages,113305
UK providers,2015,Placed June deadline applicants,Men,All ages,164240
UK providers,2015,Placed June deadline applicants,Women,All ages,215280
UK providers,2016,Placed June deadline applicants,Total,All ages,381830
UK providers,2016,Placed June deadline applicants,White ethnic group,All ages,294015
UK providers,2016,Placed June deadline applicants,Black ethnic group,All ages,24920
UK providers,2016,Placed June deadline applicants,Asian ethnic group,All ages,38505
UK providers,2016,Placed June deadline applicants,Mixed ethnic group,All ages,15935
UK providers,2016,Placed June deadline applicants,Other ethnic group,All ages,5440
UK providers,2016,Placed June deadline applicants,POLAR4 Q1,All ages,47520
UK providers,2016,Placed June deadline applicants,POLAR4 Q2,All ages,61755
UK providers,2016,Placed June deadline applicants,POLAR4 Q3,All ages,72250
UK providers,2016,Placed June deadline applicants,POLAR4 Q4,All ages,85525
UK providers,2016,Placed June deadline applicants,POLAR4 Q5,All ages,114250
UK providers,2016,Placed June deadline applicants,Men,All ages,164250
UK providers,2016,Placed June deadline applicants,Women,All ages,217575
UK providers,2017,Placed June deadline applicants,Total,All ages,374695
UK providers,2017,Placed June deadline applicants,White ethnic group,All ages,285835
UK providers,2017,Placed June deadline applicants,Black ethnic group,All ages,24585
UK providers,2017,Placed June deadline applicants,Asian ethnic group,All ages,39160
UK providers,2017,Placed June deadline applicants,Mixed ethnic group,All ages,16235
UK providers,2017,Placed June deadline applicants,Other ethnic group,All ages,5835
UK providers,2017,Placed June deadline applicants,POLAR4 Q1,All ages,47075
UK providers,2017,Placed June deadline applicants,POLAR4 Q2,All ages,60170
UK providers,2017,Placed June deadline applicants,POLAR4 Q3,All ages,71240
UK providers,2017,Placed June deadline applicants,POLAR4 Q4,All ages,83530
UK providers,2017,Placed June deadline applicants,POLAR4 Q5,All ages,112200
UK providers,2017,Placed June deadline applicants,Men,All ages,160225
UK providers,2017,Placed June deadline applicants,Women,All ages,214470
UK providers,2018,Placed June deadline applicants,Total,All ages,365140
UK providers,2018,Placed June deadline applicants,White ethnic group,All ages,275065
UK providers,2018,Placed June deadline applicants,Black ethnic group,All ages,24840
UK providers,2018,Placed June deadline applicants,Asian ethnic group,All ages,39880
UK providers,2018,Placed June deadline applicants,Mixed ethnic group,All ages,16275
UK providers,2018,Placed June deadline applicants,Other ethnic group,All ages,5960
UK providers,2018,Placed June deadline applicants,POLAR4 Q1,All ages,46095
UK providers,2018,Placed June deadline applicants,POLAR4 Q2,All ages,58675
UK providers,2018,Placed June deadline applicants,POLAR4 Q3,All ages,68480
UK providers,2018,Placed June deadline applicants,POLAR4 Q4,All ages,81730
UK providers,2018,Placed June deadline applicants,POLAR4 Q5,All ages,109710
UK providers,2018,Placed June deadline applicants,Men,All ages,154435
UK providers,2018,Placed June deadline applicants,Women,All ages,210705
UK providers,2019,Placed June deadline applicants,Total,All ages,358550
UK providers,2019,Placed June deadline applicants,White ethnic group,All ages,264755
UK providers,2019,Placed June deadline applicants,Black ethnic group,All ages,25490
UK providers,2019,Placed June deadline applicants,Asian ethnic group,All ages,41320
UK providers,2019,Placed June deadline applicants,Mixed ethnic group,All ages,16860
UK providers,2019,Placed June deadline applicants,Other ethnic group,All ages,6490
UK providers,2019,Placed June deadline applicants,POLAR4 Q1,All ages,45935
UK providers,2019,Placed June deadline applicants,POLAR4 Q2,All ages,57235
UK providers,2019,Placed June deadline applicants,POLAR4 Q3,All ages,67770
UK providers,2019,Placed June deadline applicants,POLAR4 Q4,All ages,80010
UK providers,2019,Placed June deadline applicants,POLAR4 Q5,All ages,107120
UK providers,2019,Placed June deadline applicants,Men,All ages,150555
UK providers,2019,Placed June deadline applicants,Women,All ages,208000
UK providers,2020,Placed June deadline applicants,Total,All ages,374865
UK providers,2020,Placed June deadline applicants,White ethnic group,All ages,273495
UK providers,2020,Placed June deadline applicants,Black ethnic group,All ages,27945
UK providers,2020,Placed June deadline applicants,Asian ethnic group,All ages,44245
UK providers,2020,Placed June deadline applicants,Mixed ethnic group,All ages,18270
UK providers,2020,Placed June deadline applicants,Other ethnic group,All ages,7195
UK providers,2020,Placed June deadline applicants,POLAR4 Q1,All ages,49315
UK providers,2020,Placed June deadline applicants,POLAR4 Q2,All ages,60625
UK providers,2020,Placed June deadline applicants,POLAR4 Q3,All ages,70475
UK providers,2020,Placed June deadline applicants,POLAR4 Q4,All ages,83130
UK providers,2020,Placed June deadline applicants,POLAR4 Q5,All ages,110890
UK providers,2020,Placed June deadline applicants,Men,All ages,154260
UK providers,2020,Placed June deadline applicants,Women,All ages,220605
UK providers,2021,Placed June deadline applicants,Total,All ages,399840
UK providers,2021,Placed June deadline applicants,White ethnic group,All ages,287515
UK providers,2021,Placed June deadline applicants,Black ethnic group,All ages,29495
UK providers,2021,Placed June deadline applicants,Asian ethnic group,All ages,50505
UK providers,2021,Placed June deadline applicants,Mixed ethnic group,All ages,20460
UK providers,2021,Placed June deadline applicants,Other ethnic group,All ages,8065
UK providers,2021,Placed June deadline applicants,POLAR4 Q1,All ages,51170
UK providers,2021,Placed June deadline applicants,POLAR4 Q2,All ages,63725
UK providers,2021,Placed June deadline applicants,POLAR4 Q3,All ages,75040
UK providers,2021,Placed June deadline applicants,POLAR4 Q4,All ages,88555
UK providers,2021,Placed June deadline applicants,POLAR4 Q5,All ages,120920
UK providers,2021,Placed June deadline applicants,Men,All ages,165525
UK providers,2021,Placed June deadline applicants,Women,All ages,234315
UK providers,2010,All placed applicants,Total,All ages,423295
UK providers,2010,All placed applicants,White ethnic group,All ages,330240
UK providers,2010,All placed applicants,Black ethnic group,All ages,27155
UK providers,2010,All placed applicants,Asian ethnic group,All ages,40705
UK providers,2010,All placed applicants,Mixed ethnic group,All ages,14170
UK providers,2010,All placed applicants,Other ethnic group,All ages,4405
UK providers,2010,All placed applicants,POLAR4 Q1,All ages,46980
UK providers,2010,All placed applicants,POLAR4 Q2,All ages,65855
UK providers,2010,All placed applicants,POLAR4 Q3,All ages,80580
UK providers,2010,All placed applicants,POLAR4 Q4,All ages,98005
UK providers,2010,All placed applicants,POLAR4 Q5,All ages,130755
UK providers,2010,All placed applicants,Men,All ages,188460
UK providers,2010,All placed applicants,Women,All ages,234835
UK providers,2011,All placed applicants,Total,All ages,429875
UK providers,2011,All placed applicants,White ethnic group,All ages,331955
UK providers,2011,All placed applicants,Black ethnic group,All ages,29675
UK providers,2011,All placed applicants,Asian ethnic group,All ages,43170
UK providers,2011,All placed applicants,Mixed ethnic group,All ages,15475
UK providers,2011,All placed applicants,Other ethnic group,All ages,4700
UK providers,2011,All placed applicants,POLAR4 Q1,All ages,48550
UK providers,2011,All placed applicants,POLAR4 Q2,All ages,66440
UK providers,2011,All placed applicants,POLAR4 Q3,All ages,81060
UK providers,2011,All placed applicants,POLAR4 Q4,All ages,99465
UK providers,2011,All placed applicants,POLAR4 Q5,All ages,133375
UK providers,2011,All placed applicants,Men,All ages,192385
UK providers,2011,All placed applicants,Women,All ages,237490
UK providers,2012,All placed applicants,Total,All ages,406030
UK providers,2012,All placed applicants,White ethnic group,All ages,307325
UK providers,2012,All placed applicants,Black ethnic group,All ages,30790
UK providers,2012,All placed applicants,Asian ethnic group,All ages,42515
UK providers,2012,All placed applicants,Mixed ethnic group,All ages,14800
UK providers,2012,All placed applicants,Other ethnic group,All ages,5895
UK providers,2012,All placed applicants,POLAR4 Q1,All ages,47610
UK providers,2012,All placed applicants,POLAR4 Q2,All ages,63940
UK providers,2012,All placed applicants,POLAR4 Q3,All ages,77350
UK providers,2012,All placed applicants,POLAR4 Q4,All ages,92865
UK providers,2012,All placed applicants,POLAR4 Q5,All ages,123225
UK providers,2012,All placed applicants,Men,All ages,180350
UK providers,2012,All placed applicants,Women,All ages,225680
UK providers,2013,All placed applicants,Total,All ages,433400
UK providers,2013,All placed applicants,White ethnic group,All ages,327460
UK providers,2013,All placed applicants,Black ethnic group,All ages,32480
UK providers,2013,All placed applicants,Asian ethnic group,All ages,45640
UK providers,2013,All placed applicants,Mixed ethnic group,All ages,16235
UK providers,2013,All placed applicants,Other ethnic group,All ages,6190
UK providers,2013,All placed applicants,POLAR4 Q1,All ages,51545
UK providers,2013,All placed applicants,POLAR4 Q2,All ages,68435
UK providers,2013,All placed applicants,POLAR4 Q3,All ages,83060
UK providers,2013,All placed applicants,POLAR4 Q4,All ages,99295
UK providers,2013,All placed applicants,POLAR4 Q5,All ages,130145
UK providers,2013,All placed applicants,Men,All ages,192955
UK providers,2013,All placed applicants,Women,All ages,240445
UK providers,2014,All placed applicants,Total,All ages,447205
UK providers,2014,All placed applicants,White ethnic group,All ages,333005
UK providers,2014,All placed applicants,Black ethnic group,All ages,35990
UK providers,2014,All placed applicants,Asian ethnic group,All ages,48380
UK providers,2014,All placed applicants,Mixed ethnic group,All ages,17695
UK providers,2014,All placed applicants,Other ethnic group,All ages,6980
UK providers,2014,All placed applicants,POLAR4 Q1,All ages,55510
UK providers,2014,All placed applicants,POLAR4 Q2,All ages,71895
UK providers,2014,All placed applicants,POLAR4 Q3,All ages,85850
UK providers,2014,All placed applicants,POLAR4 Q4,All ages,102035
UK providers,2014,All placed applicants,POLAR4 Q5,All ages,131170
UK providers,2014,All placed applicants,Men,All ages,197320
UK providers,2014,All placed applicants,Women,All ages,249885
UK providers,2015,All placed applicants,Total,All ages,463405
UK providers,2015,All placed applicants,White ethnic group,All ages,341005
UK providers,2015,All placed applicants,Black ethnic group,All ages,37435
UK providers,2015,All placed applicants,Asian ethnic group,All ages,51755
UK providers,2015,All placed applicants,Mixed ethnic group,All ages,19320
UK providers,2015,All placed applicants,Other ethnic group,All ages,7715
UK providers,2015,All placed applicants,POLAR4 Q1,All ages,57160
UK providers,2015,All placed applicants,POLAR4 Q2,All ages,74330
UK providers,2015,All placed applicants,POLAR4 Q3,All ages,88945
UK providers,2015,All placed applicants,POLAR4 Q4,All ages,106190
UK providers,2015,All placed applicants,POLAR4 Q5,All ages,135935
UK providers,2015,All placed applicants,Men,All ages,201835
UK providers,2015,All placed applicants,Women,All ages,261570
UK providers,2016,All placed applicants,Total,All ages,465140
UK providers,2016,All placed applicants,White ethnic group,All ages,339490
UK providers,2016,All placed applicants,Black ethnic group,All ages,37820
UK providers,2016,All placed applicants,Asian ethnic group,All ages,53730
UK providers,2016,All placed applicants,Mixed ethnic group,All ages,19855
UK providers,2016,All placed applicants,Other ethnic group,All ages,8005
UK providers,2016,All placed applicants,POLAR4 Q1,All ages,57550
UK providers,2016,All placed applicants,POLAR4 Q2,All ages,74760
UK providers,2016,All placed applicants,POLAR4 Q3,All ages,88905
UK providers,2016,All placed applicants,POLAR4 Q4,All ages,106060
UK providers,2016,All placed applicants,POLAR4 Q5,All ages,137080
UK providers,2016,All placed applicants,Men,All ages,201605
UK providers,2016,All placed applicants,Women,All ages,263530
UK providers,2017,All placed applicants,Total,All ages,462585
UK providers,2017,All placed applicants,White ethnic group,All ages,333900
UK providers,2017,All placed applicants,Black ethnic group,All ages,38225
UK providers,2017,All placed applicants,Asian ethnic group,All ages,54715
UK providers,2017,All placed applicants,Mixed ethnic group,All ages,20450
UK providers,2017,All placed applicants,Other ethnic group,All ages,8830
UK providers,2017,All placed applicants,POLAR4 Q1,All ages,57815
UK providers,2017,All placed applicants,POLAR4 Q2,All ages,73955
UK providers,2017,All placed applicants,POLAR4 Q3,All ages,88595
UK providers,2017,All placed applicants,POLAR4 Q4,All ages,105355
UK providers,2017,All placed applicants,POLAR4 Q5,All ages,136105
UK providers,2017,All placed applicants,Men,All ages,199215
UK providers,2017,All placed applicants,Women,All ages,263370
UK providers,2018,All placed applicants,Total,All ages,458780
UK providers,2018,All placed applicants,White ethnic group,All ages,325190
UK providers,2018,All placed applicants,Black ethnic group,All ages,38855
UK providers,2018,All placed applicants,Asian ethnic group,All ages,56165
UK providers,2018,All placed applicants,Mixed ethnic group,All ages,20885
UK providers,2018,All placed applicants,Other ethnic group,All ages,8960
UK providers,2018,All placed applicants,POLAR4 Q1,All ages,58010
UK providers,2018,All placed applicants,POLAR4 Q2,All ages,73635
UK providers,2018,All placed applicants,POLAR4 Q3,All ages,86940
UK providers,2018,All placed applicants,POLAR4 Q4,All ages,105125
UK providers,2018,All placed applicants,POLAR4 Q5,All ages,134275
UK providers,2018,All placed applicants,Men,All ages,195930
UK providers,2018,All placed applicants,Women,All ages,262850
UK providers,2019,All placed applicants,Total,All ages,463725
UK providers,2019,All placed applicants,White ethnic group,All ages,318960
UK providers,2019,All placed applicants,Black ethnic group,All ages,42115
UK providers,2019,All placed applicants,Asian ethnic group,All ages,60285
UK providers,2019,All placed applicants,Mixed ethnic group,All ages,21945
UK providers,2019,All placed applicants,Other ethnic group,All ages,10050
UK providers,2019,All placed applicants,POLAR4 Q1,All ages,59750
UK providers,2019,All placed applicants,POLAR4 Q2,All ages,74525
UK providers,2019,All placed applicants,POLAR4 Q3,All ages,88760
UK providers,2019,All placed applicants,POLAR4 Q4,All ages,105540
UK providers,2019,All placed applicants,POLAR4 Q5,All ages,134285
UK providers,2019,All placed applicants,Men,All ages,196710
UK providers,2019,All placed applicants,Women,All ages,267015
UK providers,2020,All placed applicants,Total,All ages,484770
UK providers,2020,All placed applicants,White ethnic group,All ages,336535
UK providers,2020,All placed applicants,Black ethnic group,All ages,41805
UK providers,2020,All placed applicants,Asian ethnic group,All ages,63545
UK providers,2020,All placed applicants,Mixed ethnic group,All ages,23860
UK providers,2020,All placed applicants,Other ethnic group,All ages,10915
UK providers,2020,All placed applicants,POLAR4 Q1,All ages,63915
UK providers,2020,All placed applicants,POLAR4 Q2,All ages,78590
UK providers,2020,All placed applicants,POLAR4 Q3,All ages,91865
UK providers,2020,All placed applicants,POLAR4 Q4,All ages,108955
UK providers,2020,All placed applicants,POLAR4 Q5,All ages,140650
UK providers,2020,All placed applicants,Men,All ages,203240
UK providers,2020,All placed applicants,Women,All ages,281530
UK providers,2021,All placed applicants,Total,All ages,491235
UK providers,2021,All placed applicants,White ethnic group,All ages,336090
UK providers,2021,All placed applicants,Black ethnic group,All ages,42585
UK providers,2021,All placed applicants,Asian ethnic group,All ages,67250
UK providers,2021,All placed applicants,Mixed ethnic group,All ages,25105
UK providers,2021,All placed applicants,Other ethnic group,All ages,11740
UK providers,2021,All placed applicants,POLAR4 Q1,All ages,64075
UK providers,2021,All placed applicants,POLAR4 Q2,All ages,78770
UK providers,2021,All placed applicants,POLAR4 Q3,All ages,93085
UK providers,2021,All placed applicants,POLAR4 Q4,All ages,110000
UK providers,2021,All placed applicants,POLAR4 Q5,All ages,142400
UK providers,2021,All placed applicants,Men,All ages,206440
UK providers,2021,All placed applicants,Women,All ages,284795
UK providers,2010,June deadline applications,Total,All ages,2304965
UK providers,2010,June deadline applications,White ethnic group,All ages,1762160
UK providers,2010,June deadline applications,Black ethnic group,All ages,179295
UK providers,2010,June deadline applications,Asian ethnic group,All ages,238395
UK providers,2010,June deadline applications,Mixed ethnic group,All ages,81115
UK providers,2010,June deadline applications,Other ethnic group,All ages,26040
UK providers,2010,June deadline applications,POLAR4 Q1,All ages,252775
UK providers,2010,June deadline applications,POLAR4 Q2,All ages,349710
UK providers,2010,June deadline applications,POLAR4 Q3,All ages,436690
UK providers,2010,June deadline applications,POLAR4 Q4,All ages,538040
UK providers,2010,June deadline applications,POLAR4 Q5,All ages,721765
UK providers,2010,June deadline applications,Men,All ages,1013330
UK providers,2010,June deadline applications,Women,All ages,1291635
UK providers,2011,June deadline applications,Total,All ages,2399705
UK providers,2011,June deadline applications,White ethnic group,All ages,1810950
UK providers,2011,June deadline applications,Black ethnic group,All ages,197020
UK providers,2011,June deadline applications,Asian ethnic group,All ages,257000
UK providers,2011,June deadline applications,Mixed ethnic group,All ages,88620
UK providers,2011,June deadline applications,Other ethnic group,All ages,27970
UK providers,2011,June deadline applications,POLAR4 Q1,All ages,272165
UK providers,2011,June deadline applications,POLAR4 Q2,All ages,368035
UK providers,2011,June deadline applications,POLAR4 Q3,All ages,452770
