,Subject,              Level,Year, Total,         A1,        A2,        B1,        B2,        B3,        C1,        C2,        C3,        D1,        D2,        D3,        E,         F,         NG
20,APPLIED MATHEMATICS    ,A,2015,1729,16.3,11.7,8,9.7,9.3,7.4,7,6.8,4.9,4.7,6.3,4.9,2.4,0.6
20,APPLIED MATHEMATICS    ,G,2015,190,23.2,13.7,9.5,9.5,8.9,5.8,7.4,5.3,1.6,3.2,3.2,5.8,2.6,0.5
21,PHYSICS                ,A,2015,5764,12.3,8.3,8.1,8.9,7.8,8,7.7,8,6.7,7.2,7.4,7.2,2,0.3
21,PHYSICS                ,G,2015,1744,5.5,8.9,7.1,11.1,13,9.6,10.8,8,6.9,5,5.3,4.9,2.9,1
22,CHEMISTRY              ,A,2015,7533,12.8,9.2,10.2,9.1,9.1,7.8,8,7.3,5.7,5.4,6.7,6.2,2,0.3
22,CHEMISTRY              ,G,2015,1405,1.6,4.8,4.8,7,9.2,8.9,10.1,10.7,8,6.7,9.5,11.6,5.8,1.1
23,PHYSICS & CHEMISTRY    ,A,2015,437,4.8,9.6,7.1,8.5,11.4,6.4,9.2,11,5.3,7.8,6.6,6.4,4.3,1.6
23,PHYSICS & CHEMISTRY    ,G,2015,115,0,1.7,0.9,2.6,9.6,7,6.1,10.4,7,5.2,13,13,14.8,8.7
24,AGRICULTURAL SCIENCE   ,A,2015,6067,4.5,6.8,8.9,9.4,9.8,9.7,9.4,9.4,8.3,7.3,8.4,6.7,1.3,0.1
24,AGRICULTURAL SCIENCE   ,G,2015,1605,0.1,0.2,1.1,2.7,5.7,9.7,13.6,10.5,12.9,11.2,13.5,13.8,4.4,0.5
25,BIOLOGY                ,A,2015,25595,6.5,8.9,9.1,10,10.9,9.7,9.8,9.6,7.8,6.4,6.3,4.3,0.7,0.1
25,BIOLOGY                ,G,2015,8269,0.3,1.1,2.5,6.1,10.1,12.3,14.6,14.8,11.2,10.3,8.8,6.2,1.6,0.1
26,AGRICULTURAL ECONOMICS ,A,2015,85,1.2,9.4,10.6,12.9,14.1,18.8,8.2,11.8,5.9,2.4,4.7,0,0,0
27,ENGINEERING            ,A,2015,4408,2.8,6,10.1,12.4,13.5,13.5,12.2,10,8.6,5.2,3.5,2,0.2,0
27,ENGINEERING            ,G,2015,968,0.6,1.9,6.4,7.1,14,11.9,15.4,11.6,10.8,8.7,6.1,4.4,1,0
29,CONSTRUCTION STUDIES   ,A,2015,6877,2.7,5.6,9.7,11,11.6,12,12,10.8,8.8,6.2,5.3,3.8,0.7,0
29,CONSTRUCTION STUDIES   ,G,2015,1392,0,0.1,1.4,3.8,8,12.1,13.1,15.1,14.5,9.4,10.5,8.6,2.9,0.3
32,ACCOUNTING             ,A,2015,4748,9.6,11.4,11.5,10.3,9.8,8.9,7.1,7.6,6.1,4.7,5.9,5.2,1.6,0.3
32,ACCOUNTING             ,G,2015,1727,9.1,9.2,10.8,11.1,8.8,8.5,6.3,5.6,5.7,3.9,6.3,7.7,5.1,1.9
33,BUSINESS               ,A,2015,12154,4,7,8,9.5,11.1,9.1,10.1,10.5,7.4,7.1,8.8,6.1,1.2,0.1
33,BUSINESS               ,G,2015,4722,3.1,7.4,5.5,10.6,14.8,10,11.2,11.4,5.8,6.5,7,4.6,1.8,0.3
34,ECONOMICS              ,A,2015,4088,3.3,8.4,8.5,11,11.4,10.1,9.3,10.4,5.7,6.7,9.6,4.5,1,0.1
34,ECONOMICS              ,G,2015,960,3.6,7.7,10.8,13.4,10.4,14.4,10.1,7.8,8,5,4,3.3,1.1,0.2
58,JAPANESE               ,A,2015,234,12.4,11.5,8.5,13.7,9,11.1,7.7,7.7,5.1,5.1,4.3,2.1,1.7,0
58,JAPANESE               ,G,2015,62,0,0,3.2,6.5,6.5,9.7,4.8,14.5,8.1,11.3,12.9,17.7,4.8,0
59,ARABIC                 ,A,2015,94,5.3,8.5,7.4,10.6,13.8,11.7,7.4,13.8,5.3,6.4,4.3,3.2,1.1,1.1
59,ARABIC                 ,G,2015,28,3.6,10.7,0,10.7,7.1,10.7,14.3,10.7,0,7.1,0,14.3,3.6,7.1
65,TECHNOLOGY             ,A,2015,1168,4.9,8,11.1,11,14.1,12.1,12.1,8.3,7,4.4,3.6,2.7,0.6,0.1
65,TECHNOLOGY             ,G,2015,160,1.3,0,11.9,8.8,7.5,15.6,11.3,10,10,9.4,4.4,6.9,3.1,0
67,MUSIC                  ,A,2015,5866,3.8,10.4,16.6,18.7,18.1,13.7,8.3,5.1,2.7,1.5,0.8,0.4,0.1,0.1
67,MUSIC                  ,G,2015,459,1.1,3.3,9.8,15.7,17.2,14.4,12.2,8.1,7.2,3.9,3.7,2.4,0.7,0.4
