"------------------------------------------------------------------"
"Sex, area background and ethnic group			"
"------------------------------------------------------------------"
"This file contains data used reported in the Sex, area background and ethnic group reports, covering all providers for whom reports have been published on the UCAS website."
"Cycle years: 2010 - 2021"
"Cycle reference point: End of Cycle"
"Applicant coverage: UK domiciled"
"Equality dimensions: Sex, POLAR4, SIMD 2016, ethnic group"
"Statistics reported:"
"June deadline applicants, placed June deadline applicants, all placed applicants, June deadline applicants per 10,000 population, placed June deadline applicants per 10,000 population,"
"all placed applicants per 10,000 population"
"June deadline applications, offers, offer rate, average offer rate, percentage point difference between offer rate and average offer rate, contribution of group to the average offer rate"
"Non-disclosure controls: To avoid the disclosure of information about any individual the following measures are taken"
"Applicants, placed applicants, applications and offers are rounded to the nearest 5."
"Applicants/placed applicants per 10,000 population figures are reported as 0 if the applicant/placed applicant figures are rounded to 0."
"All statistics related to the offer rate are not reported when the number of applications for a group is less than 10. The percentage point difference between the offer rate and"
"the average offer rate is not reported when the number of applications for a group is less than 50."
"Offer rates are reported as 0% if there are fewer than 5 offers, and 100% if the number of offers is within 5 of the number of applications. When the offer rate is reported as 0% or 100%,"
"it is reported in italics."
"------------------------------------------------------------------"
Please refer to the Sex, area background and ethnic group reports specified above for technical notes and definitions.
Data lines are comma delimited.
Data follows - 12312 lines in total
------------------------------------------------------------------
inst_cntry_2021_map,Cycle,statistic,equality_dimension,agegroup,value
English providers,2017,Placed June deadline applicants,Other ethnic group,18 year olds,2560
English providers,2017,Placed June deadline applicants,POLAR4 Q1,18 year olds,19745
English providers,2017,Placed June deadline applicants,POLAR4 Q2,18 year olds,27105
English providers,2017,Placed June deadline applicants,POLAR4 Q3,18 year olds,32955
English providers,2017,Placed June deadline applicants,POLAR4 Q4,18 year olds,39290
English providers,2017,Placed June deadline applicants,POLAR4 Q5,18 year olds,55575
English providers,2017,Placed June deadline applicants,Men,18 year olds,76365
English providers,2017,Placed June deadline applicants,Women,18 year olds,98475
English providers,2018,Placed June deadline applicants,Total,18 year olds,172265
English providers,2018,Placed June deadline applicants,White ethnic group,18 year olds,128965
English providers,2018,Placed June deadline applicants,Black ethnic group,18 year olds,9440
English providers,2018,Placed June deadline applicants,Asian ethnic group,18 year olds,21905
English providers,2018,Placed June deadline applicants,Mixed ethnic group,18 year olds,8110
English providers,2018,Placed June deadline applicants,Other ethnic group,18 year olds,2700
English providers,2018,Placed June deadline applicants,POLAR4 Q1,18 year olds,19350
English providers,2018,Placed June deadline applicants,POLAR4 Q2,18 year olds,26820
English providers,2018,Placed June deadline applicants,POLAR4 Q3,18 year olds,31875
English providers,2018,Placed June deadline applicants,POLAR4 Q4,18 year olds,39045
English providers,2018,Placed June deadline applicants,POLAR4 Q5,18 year olds,54995
English providers,2018,Placed June deadline applicants,Men,18 year olds,75195
English providers,2018,Placed June deadline applicants,Women,18 year olds,97070
English providers,2019,Placed June deadline applicants,Total,18 year olds,171920
English providers,2019,Placed June deadline applicants,White ethnic group,18 year olds,125200
English providers,2019,Placed June deadline applicants,Black ethnic group,18 year olds,10200
English providers,2019,Placed June deadline applicants,Asian ethnic group,18 year olds,23605
English providers,2019,Placed June deadline applicants,Mixed ethnic group,18 year olds,8650
English providers,2019,Placed June deadline applicants,Other ethnic group,18 year olds,3130
English providers,2019,Placed June deadline applicants,POLAR4 Q1,18 year olds,19890
English providers,2019,Placed June deadline applicants,POLAR4 Q2,18 year olds,26185
English providers,2019,Placed June deadline applicants,POLAR4 Q3,18 year olds,32270
English providers,2019,Placed June deadline applicants,POLAR4 Q4,18 year olds,39055
English providers,2019,Placed June deadline applicants,POLAR4 Q5,18 year olds,54340
English providers,2019,Placed June deadline applicants,Men,18 year olds,74695
English providers,2019,Placed June deadline applicants,Women,18 year olds,97225
English providers,2020,Placed June deadline applicants,Total,18 year olds,180705
English providers,2020,Placed June deadline applicants,White ethnic group,18 year olds,128460
English providers,2020,Placed June deadline applicants,Black ethnic group,18 year olds,11430
English providers,2020,Placed June deadline applicants,Asian ethnic group,18 year olds,26375
English providers,2020,Placed June deadline applicants,Mixed ethnic group,18 year olds,9645
English providers,2020,Placed June deadline applicants,Other ethnic group,18 year olds,3530
English providers,2020,Placed June deadline applicants,POLAR4 Q1,18 year olds,21720
English providers,2020,Placed June deadline applicants,POLAR4 Q2,18 year olds,28270
English providers,2020,Placed June deadline applicants,POLAR4 Q3,18 year olds,33535
English providers,2020,Placed June deadline applicants,POLAR4 Q4,18 year olds,40640
English providers,2020,Placed June deadline applicants,POLAR4 Q5,18 year olds,56370
English providers,2020,Placed June deadline applicants,Men,18 year olds,77555
English providers,2020,Placed June deadline applicants,Women,18 year olds,103150
English providers,2021,Placed June deadline applicants,Total,18 year olds,204760
